experiment,model,metric,value
ft_eval,original,auc,0.4942188676586146
ft_eval,original,tpr@0.1%fpr,0.0012145748987854252
ft_eval,original,tpr@0%fpr,0.0
ft_eval,original,tnr@0.1%fnr,0.0004047763610605104
ft_eval,original,tnr@0%fnr,0.0
ft_eval,finetuned,auc,0.5665886202124338
ft_eval,finetuned,tpr@0.1%fpr,0.0020242914979757085
ft_eval,finetuned,tpr@0%fpr,0.0
ft_eval,finetuned,tnr@0.1%fnr,0.05565674964582068
ft_eval,finetuned,tnr@0%fnr,0.03501315523173443
context / original refs,original,auc,0.8669294640940389
context / original refs,finetuned,auc,0.539773844622977
