dataset,dataset_display,model,class_label,num_classes,tpr_at_1pct_fpr,tpr_mean,tpr_std,class_size,n_members,n_nonmembers,n_seeds,granularity_group,model_display
46980_MIC,MIC,lightgbm,0,5,0.014760147601476014,0.01789864443190083,0.0071172003465524184,1069.0,535.0,534.0,5,Multiclass,LightGBM
46980_MIC,MIC,lightgbm,1,5,1.0,0.8177777777777777,0.3486835914028365,18.0,9.0,9.0,5,Multiclass,LightGBM
46980_MIC,MIC,lightgbm,2,5,0.20930232558139536,0.1921373200442968,0.19382296949772473,83.0,42.0,41.0,5,Multiclass,LightGBM
46980_MIC,MIC,lightgbm,3,5,0.8095238095238095,0.7619047619047619,0.29277216737217626,38.0,19.0,19.0,5,Multiclass,LightGBM
46980_MIC,MIC,lightgbm,4,5,1.0,0.8363636363636363,0.36590203268178373,21.0,10.0,11.0,5,Multiclass,LightGBM
46980_MIC,MIC,mlp,0,5,0.028037383177570093,0.02978881833757798,0.01689349151880115,1069.0,535.0,534.0,5,Multiclass,MLP
46980_MIC,MIC,mlp,1,5,1.0,1.0,0.0,18.0,9.0,9.0,5,Multiclass,MLP
46980_MIC,MIC,mlp,2,5,0.3023255813953488,0.2521539313399778,0.15174631560715066,83.0,42.0,41.0,5,Multiclass,MLP
46980_MIC,MIC,mlp,3,5,0.7894736842105263,0.7879699248120301,0.040898999821276066,38.0,19.0,19.0,5,Multiclass,MLP
46980_MIC,MIC,mlp,4,5,1.0,1.0,0.0,21.0,10.0,11.0,5,Multiclass,MLP
46980_MIC,MIC,rf,0,5,0.014953271028037384,0.016063403984223824,0.009350591566330578,1069.0,535.0,534.0,5,Multiclass,RF
46980_MIC,MIC,rf,1,5,0.8888888888888888,0.8511111111111112,0.16016966313148792,18.0,9.0,9.0,5,Multiclass,RF
46980_MIC,MIC,rf,2,5,0.23809523809523808,0.2042285947426706,0.1287086481653164,83.0,42.0,41.0,5,Multiclass,RF
46980_MIC,MIC,rf,3,5,0.3157894736842105,0.3894736842105263,0.4301645629832116,38.0,19.0,19.0,5,Multiclass,RF
46980_MIC,MIC,rf,4,5,0.7,0.5036363636363637,0.4720099452657243,21.0,10.0,11.0,5,Multiclass,RF
46980_MIC,MIC,tabnet,0,5,0.013084112149532711,0.013443713833545002,0.008633841437830922,1069.0,535.0,534.0,5,Multiclass,TabNet
46980_MIC,MIC,tabnet,1,5,1.0,0.9550000000000001,0.06224949798994364,18.0,9.0,9.0,5,Multiclass,TabNet
46980_MIC,MIC,tabnet,2,5,0.025,0.09422888616891065,0.11846015297991302,83.0,42.0,41.0,5,Multiclass,TabNet
46980_MIC,MIC,tabnet,3,5,0.2631578947368421,0.40852130325814534,0.38410105573920056,38.0,19.0,19.0,5,Multiclass,TabNet
46980_MIC,MIC,tabnet,4,5,0.7272727272727273,0.7296103896103896,0.2367458020785618,21.0,10.0,11.0,5,Multiclass,TabNet
credit_rating,credit_rating,lightgbm,0,9,0.22784810126582278,0.2182265247415786,0.05062929552434924,296.0,147.0,155.0,5,Multiclass,LightGBM
credit_rating,credit_rating,lightgbm,1,9,0.0,0.15,0.33541019662496846,68.0,34.0,33.0,5,Multiclass,LightGBM
credit_rating,credit_rating,lightgbm,2,9,1.0,1.0,0.0,6.0,3.5,2.0,4,Multiclass,LightGBM
credit_rating,credit_rating,lightgbm,3,9,0.375,0.33344532279314887,0.33904859445397006,220.0,115.0,110.0,5,Multiclass,LightGBM
credit_rating,credit_rating,lightgbm,4,9,0.2568306010928962,0.24167014114044916,0.23929705020893904,365.0,183.0,182.0,5,Multiclass,LightGBM
credit_rating,credit_rating,lightgbm,5,9,0.20078740157480315,0.1986220383649507,0.10960185977516641,506.0,254.0,254.0,5,Multiclass,LightGBM
credit_rating,credit_rating,lightgbm,6,9,1.0,1.0,0.0,2.0,1.0,1.0,2,Multiclass,LightGBM
credit_rating,credit_rating,lightgbm,7,9,1.0,1.0,0.0,5.0,1.0,3.0,5,Multiclass,LightGBM
credit_rating,credit_rating,lightgbm,8,9,1.0,0.96,0.0692820323027551,52.0,25.0,23.0,5,Multiclass,LightGBM
credit_rating,credit_rating,mlp,0,9,0.011904761904761904,0.01185600822607524,0.01189971979969242,296.0,147.0,155.0,5,Multiclass,MLP
credit_rating,credit_rating,mlp,1,9,0.0,0.016764705882352942,0.025884024010225645,68.0,34.0,33.0,5,Multiclass,MLP
credit_rating,credit_rating,mlp,2,9,0.5,0.5,0.45643546458763845,6.0,3.5,2.0,4,Multiclass,MLP
credit_rating,credit_rating,mlp,3,9,0.0,0.006961259079903148,0.009537500760646932,220.0,115.0,110.0,5,Multiclass,MLP
credit_rating,credit_rating,mlp,4,9,0.02564102564102564,0.020646088883793802,0.020928081377093448,365.0,183.0,182.0,5,Multiclass,MLP
credit_rating,credit_rating,mlp,5,9,0.008130081300813009,0.008010176746325898,0.005571209968923128,506.0,254.0,254.0,5,Multiclass,MLP
credit_rating,credit_rating,mlp,6,9,0.0,0.0,0.0,2.0,1.0,1.0,2,Multiclass,MLP
credit_rating,credit_rating,mlp,7,9,0.5,0.5,0.5,5.0,1.0,3.0,5,Multiclass,MLP
credit_rating,credit_rating,mlp,8,9,0.04,0.1215632183908046,0.163308571492909,52.0,25.0,23.0,5,Multiclass,MLP
credit_rating,credit_rating,rf,0,9,0.38848920863309355,0.28120924628844346,0.2613646284737231,296.0,147.0,155.0,5,Multiclass,RF
credit_rating,credit_rating,rf,1,9,0.7352941176470589,0.5184873949579832,0.4798440740785375,68.0,34.0,33.0,5,Multiclass,RF
credit_rating,credit_rating,rf,2,9,1.0,1.0,0.0,6.0,3.5,2.0,4,Multiclass,RF
credit_rating,credit_rating,rf,3,9,0.7457627118644068,0.611501654613298,0.35489253307642826,220.0,115.0,110.0,5,Multiclass,RF
credit_rating,credit_rating,rf,4,9,0.7128205128205128,0.6050421132618117,0.26876183990457886,365.0,183.0,182.0,5,Multiclass,RF
credit_rating,credit_rating,rf,5,9,0.6067415730337079,0.5836661966152412,0.2246428309051048,506.0,254.0,254.0,5,Multiclass,RF
credit_rating,credit_rating,rf,6,9,1.0,1.0,0.0,2.0,1.0,1.0,2,Multiclass,RF
credit_rating,credit_rating,rf,7,9,1.0,1.0,0.0,5.0,1.0,3.0,5,Multiclass,RF
credit_rating,credit_rating,rf,8,9,0.96,0.9408888888888889,0.08248606316999223,52.0,25.0,23.0,5,Multiclass,RF
credit_rating,credit_rating,tabnet,0,9,0.0,0.008476484118827388,0.012786405168892397,296.0,147.0,155.0,5,Multiclass,TabNet
credit_rating,credit_rating,tabnet,1,9,0.0,0.026455026455026454,0.04166141732281382,68.0,34.0,33.0,5,Multiclass,TabNet
credit_rating,credit_rating,tabnet,2,9,0.6666666666666666,0.5833333333333333,0.5,6.0,3.5,2.0,4,Multiclass,TabNet
credit_rating,credit_rating,tabnet,3,9,0.020202020202020204,0.02616510137696578,0.029700329230151288,220.0,115.0,110.0,5,Multiclass,TabNet
credit_rating,credit_rating,tabnet,4,9,0.021052631578947368,0.028419212023049662,0.02005957651849106,365.0,183.0,182.0,5,Multiclass,TabNet
credit_rating,credit_rating,tabnet,5,9,0.004149377593360996,0.02103395113281594,0.02970662794941374,506.0,254.0,254.0,5,Multiclass,TabNet
credit_rating,credit_rating,tabnet,6,9,1.0,1.0,0.0,2.0,1.0,1.0,2,Multiclass,TabNet
credit_rating,credit_rating,tabnet,7,9,0.75,0.65,0.4183300132670378,5.0,1.0,3.0,5,Multiclass,TabNet
credit_rating,credit_rating,tabnet,8,9,0.08,0.07448275862068966,0.075478654919088,52.0,25.0,23.0,5,Multiclass,TabNet
dropout_success,dropout_success,lightgbm,0,3,0.14583333333333334,0.1252051329417393,0.04983627265114586,1060.0,530.0,530.0,5,Multiclass,LightGBM
dropout_success,dropout_success,lightgbm,1,3,0.23986486486486486,0.21754255564640107,0.14089619704808892,598.0,299.0,299.0,5,Multiclass,LightGBM
dropout_success,dropout_success,lightgbm,2,3,0.07287933094384708,0.06802406976438913,0.015865228423896274,1660.0,830.0,830.0,5,Multiclass,LightGBM
dropout_success,dropout_success,mlp,0,3,0.022099447513812154,0.016840498341992326,0.01056075102929866,1060.0,530.0,530.0,5,Multiclass,MLP
dropout_success,dropout_success,mlp,1,3,0.046822742474916385,0.045962608546087934,0.023481158688735675,598.0,299.0,299.0,5,Multiclass,MLP
dropout_success,dropout_success,mlp,2,3,0.013189448441247002,0.015892105922644416,0.009095606401077138,1660.0,830.0,830.0,5,Multiclass,MLP
dropout_success,dropout_success,rf,0,3,0.27102803738317754,0.26718689212668095,0.13233660340287284,1060.0,530.0,530.0,5,Multiclass,RF
dropout_success,dropout_success,rf,1,3,0.5588235294117647,0.5808047175847255,0.2839772890642038,598.0,299.0,299.0,5,Multiclass,RF
dropout_success,dropout_success,rf,2,3,0.13309352517985612,0.13488824525420945,0.07902850083792355,1660.0,830.0,830.0,5,Multiclass,RF
dropout_success,dropout_success,tabnet,0,3,0.013207547169811321,0.01846621223986138,0.015578387865640156,1060.0,530.0,530.0,5,Multiclass,TabNet
dropout_success,dropout_success,tabnet,1,3,0.02287581699346405,0.03910235726482648,0.03632224185908119,598.0,299.0,299.0,5,Multiclass,TabNet
dropout_success,dropout_success,tabnet,2,3,0.013513513513513514,0.019819167304637612,0.01653695891320757,1660.0,830.0,830.0,5,Multiclass,TabNet
locations,locations,lightgbm,0,10,0.047619047619047616,0.10857142857142858,0.16762986978050895,127.0,63.0,64.0,5,Multiclass,LightGBM
locations,locations,lightgbm,1,10,0.06060606060606061,0.07263008233596469,0.03988696942670261,132.0,66.0,66.0,5,Multiclass,LightGBM
locations,locations,lightgbm,2,10,0.05660377358490566,0.06133670368029851,0.0625958100787972,112.0,56.0,56.0,5,Multiclass,LightGBM
locations,locations,lightgbm,3,10,0.06557377049180328,0.13139701890015007,0.13916302800187422,124.0,62.0,62.0,5,Multiclass,LightGBM
locations,locations,lightgbm,4,10,0.1891891891891892,0.24607932607932606,0.20316991613873442,74.0,37.0,37.0,5,Multiclass,LightGBM
locations,locations,lightgbm,5,10,0.25757575757575757,0.26011159133641,0.17960429392432634,137.0,68.0,69.0,5,Multiclass,LightGBM
locations,locations,lightgbm,6,10,0.13636363636363635,0.16559477756286264,0.10722329178872556,87.0,44.0,43.0,5,Multiclass,LightGBM
locations,locations,lightgbm,7,10,0.12389380530973451,0.14880469261963888,0.05649215441431196,227.0,113.0,114.0,5,Multiclass,LightGBM
locations,locations,lightgbm,8,10,0.12280701754385964,0.09901861934529811,0.09778012911747053,113.0,57.0,56.0,5,Multiclass,LightGBM
locations,locations,lightgbm,9,10,0.1527777777777778,0.1732838267981506,0.13559260965318198,148.0,74.0,74.0,5,Multiclass,LightGBM
locations,locations,mlp,0,10,0.10606060606060606,0.08759108946608947,0.07652988692815553,127.0,63.0,64.0,5,Multiclass,MLP
locations,locations,mlp,1,10,0.015873015873015872,0.02734413462354639,0.01989626743869922,132.0,66.0,66.0,5,Multiclass,MLP
locations,locations,mlp,2,10,0.08771929824561403,0.09329926190596415,0.06749739837966073,112.0,56.0,56.0,5,Multiclass,MLP
locations,locations,mlp,3,10,0.09523809523809523,0.08188380346247251,0.04351767329456151,124.0,62.0,62.0,5,Multiclass,MLP
locations,locations,mlp,4,10,0.2702702702702703,0.2391690138031602,0.10251305157345694,74.0,37.0,37.0,5,Multiclass,MLP
locations,locations,mlp,5,10,0.20588235294117646,0.2035093888115645,0.135110146586025,137.0,68.0,69.0,5,Multiclass,MLP
locations,locations,mlp,6,10,0.16666666666666666,0.17337201805286911,0.1299164630836288,87.0,44.0,43.0,5,Multiclass,MLP
locations,locations,mlp,7,10,0.10810810810810811,0.09937617137880536,0.024087224184182,227.0,113.0,114.0,5,Multiclass,MLP
locations,locations,mlp,8,10,0.03508771929824561,0.05580426161188412,0.0863691136968769,113.0,57.0,56.0,5,Multiclass,MLP
locations,locations,mlp,9,10,0.16216216216216217,0.11614192290910094,0.09808296095240783,148.0,74.0,74.0,5,Multiclass,MLP
locations,locations,rf,0,10,0.3333333333333333,0.4507936507936508,0.48543928307880013,127.0,63.0,64.0,5,Multiclass,RF
locations,locations,rf,1,10,0.07352941176470588,0.17856320558526442,0.22335919388166234,132.0,66.0,66.0,5,Multiclass,RF
locations,locations,rf,2,10,0.32142857142857145,0.4503783202810352,0.3597349643120723,112.0,56.0,56.0,5,Multiclass,RF
locations,locations,rf,3,10,0.45614035087719296,0.5014863529350434,0.29100261441692676,124.0,62.0,62.0,5,Multiclass,RF
locations,locations,rf,4,10,0.8918918918918919,0.6918918918918919,0.42545039083551106,74.0,37.0,37.0,5,Multiclass,RF
locations,locations,rf,5,10,0.9848484848484849,0.922191292457207,0.13480259321753338,137.0,68.0,69.0,5,Multiclass,RF
locations,locations,rf,6,10,0.7045454545454546,0.6045373952288846,0.39654886719798915,87.0,44.0,43.0,5,Multiclass,RF
locations,locations,rf,7,10,0.6228070175438597,0.758983680530988,0.21242546279399263,227.0,113.0,114.0,5,Multiclass,RF
locations,locations,rf,8,10,1.0,0.9298245614035088,0.13814048901775106,113.0,57.0,56.0,5,Multiclass,RF
locations,locations,rf,9,10,0.8552631578947368,0.801759365710339,0.21346132202763676,148.0,74.0,74.0,5,Multiclass,RF
