dataset,dataset_display,class_label,num_classes,tpr_at_1pct_fpr,tpr_mean,tpr_std,class_size,n_members,n_nonmembers,n_runs,n_models,n_seeds,dataset_plot
46980_MIC,MIC,0,5,0.018570886643445875,0.03022890761959309,0.02674836101746228,1069.0,535.0,534.0,40,8,5,"MIC
(5 classes)"
46980_MIC,MIC,1,5,1.0,0.9015277777777777,0.21099388520715118,18.0,9.0,9.0,40,8,5,"MIC
(5 classes)"
46980_MIC,MIC,2,5,0.24404761904761904,0.3043663300693594,0.2928675488618849,83.0,42.0,41.0,40,8,5,"MIC
(5 classes)"
46980_MIC,MIC,3,5,0.7994987468671679,0.6666666666666667,0.34654666954759633,38.0,19.0,19.0,40,8,5,"MIC
(5 classes)"
46980_MIC,MIC,4,5,1.0,0.8666558441558442,0.26878304637811523,21.0,10.0,11.0,40,8,5,"MIC
(5 classes)"
credit_rating,credit_rating,0,9,0.08581706063720451,0.14034397482014388,0.15746691586358014,290.5,153.5,137.0,16,8,2,"credit_rating
(10 classes)"
credit_rating,credit_rating,0,10,0.14285714285714285,0.16831001915534147,0.15398886551901547,308.0,147.0,157.0,24,8,3,"credit_rating
(10 classes)"
credit_rating,credit_rating,1,9,0.07703081232492998,0.2918417366946779,0.34713439167226423,67.5,38.0,29.5,16,8,2,"credit_rating
(10 classes)"
credit_rating,credit_rating,1,10,0.1111111111111111,0.26016865079365076,0.3046627479614824,68.0,28.0,37.0,24,8,3,"credit_rating
(10 classes)"
credit_rating,credit_rating,2,9,1.0,0.84375,0.22903134532822608,6.0,4.0,2.0,8,8,1,"credit_rating
(10 classes)"
credit_rating,credit_rating,2,10,1.0,0.7465277777777778,0.3418117106999972,6.0,3.0,2.0,24,8,3,"credit_rating
(10 classes)"
credit_rating,credit_rating,3,9,0.6478260869565218,0.5357103645147123,0.33888628830351153,224.5,107.0,117.5,16,8,2,"credit_rating
(10 classes)"
credit_rating,credit_rating,3,10,0.05084745762711865,0.25602804681194513,0.30983406770032623,217.0,118.0,99.0,24,8,3,"credit_rating
(10 classes)"
credit_rating,credit_rating,4,9,0.34418110493625365,0.40133213468453743,0.33741124605178613,364.5,175.5,189.0,16,8,2,"credit_rating
(10 classes)"
credit_rating,credit_rating,4,10,0.0633879781420765,0.22078791540881704,0.2690150783164406,367.0,183.0,182.0,24,8,3,"credit_rating
(10 classes)"
credit_rating,credit_rating,5,9,0.2560603379633726,0.30817776991359225,0.2764567824711245,513.5,260.5,253.0,16,8,2,"credit_rating
(10 classes)"
credit_rating,credit_rating,5,10,0.23804945518334852,0.25446525375503043,0.19727953440794035,501.0,246.0,260.0,24,8,3,"credit_rating
(10 classes)"
credit_rating,credit_rating,6,10,1.0,0.875,0.3415650255319866,2.0,1.0,1.0,16,8,2,"credit_rating
(10 classes)"
credit_rating,credit_rating,7,9,1.0,0.8125,0.35939764421413045,4.0,1.5,2.5,16,8,2,"credit_rating
(10 classes)"
credit_rating,credit_rating,7,10,1.0,0.9479166666666666,0.208242733923381,5.0,1.0,3.0,24,8,3,"credit_rating
(10 classes)"
credit_rating,credit_rating,8,9,0.9444444444444444,0.7151388888888889,0.4119604589679529,51.5,21.5,30.0,16,8,2,"credit_rating
(10 classes)"
credit_rating,credit_rating,8,10,0.896551724137931,0.7173084291187739,0.36237422052306373,52.0,29.0,23.0,24,8,3,"credit_rating
(10 classes)"
dropout_success,dropout_success,0,3,0.11269459789080996,0.15336597313417877,0.15170487467237145,1060.0,530.0,530.0,40,8,5,"dropout_success
(3 classes)"
dropout_success,dropout_success,1,3,0.13523777327022762,0.32573381666423085,0.34809073091114184,598.0,299.0,299.0,40,8,5,"dropout_success
(3 classes)"
dropout_success,dropout_success,2,3,0.064901331946491,0.13304773826920663,0.1748240428915297,1660.0,830.0,830.0,40,8,5,"dropout_success
(3 classes)"
locations,locations,0,10,0.15749007936507936,0.19360603805916304,0.2186134794032929,127.0,63.0,64.0,40,8,5,"locations
(10 classes)"
locations,locations,1,10,0.06060606060606061,0.07605468418427977,0.09242952361331556,132.0,66.0,66.0,40,8,5,"locations
(10 classes)"
locations,locations,2,10,0.106203007518797,0.13729253883575118,0.18106206908458755,112.0,56.0,56.0,40,8,5,"locations
(10 classes)"
locations,locations,3,10,0.10181190681622088,0.17004945710830927,0.1912515712930641,124.0,62.0,62.0,40,8,5,"locations
(10 classes)"
locations,locations,4,10,0.23513513513513515,0.26501315537900905,0.2596641040532585,74.0,37.0,37.0,40,8,5,"locations
(10 classes)"
locations,locations,5,10,0.25,0.3247631474756777,0.2924735523586471,137.0,68.0,69.0,40,8,5,"locations
(10 classes)"
locations,locations,6,10,0.2159090909090909,0.25311291102514505,0.2525877884228817,87.0,44.0,43.0,40,8,5,"locations
(10 classes)"
locations,locations,7,10,0.13216115510013973,0.21754100196594134,0.22993594845816992,227.0,113.0,114.0,40,8,5,"locations
(10 classes)"
locations,locations,8,10,0.18031189083820662,0.2437764670296431,0.28773888161733685,113.0,57.0,56.0,40,8,5,"locations
(10 classes)"
locations,locations,9,10,0.1523382559774965,0.21640586063621964,0.2601228004351022,148.0,74.0,74.0,40,8,5,"locations
(10 classes)"
url,url,0,2,0.06575368288902003,0.07015106193315349,0.0467209091784102,4294.0,2147.0,2147.0,40,8,5,"url
(2 classes)"
url,url,1,2,0.05974453719215333,0.05724411862253792,0.03054899031568385,4278.0,2139.0,2139.0,40,8,5,"url
(2 classes)"
us_stocks_financial,us_stocks_financial,0,2,0.029880478087649404,0.03917150935252374,0.03454630223584709,1030.0,515.0,515.0,40,8,5,"us_stocks_financial
(2 classes)"
us_stocks_financial,us_stocks_financial,1,2,0.023335686085924595,0.03641649406216899,0.0689479897558224,2264.0,1132.0,1132.0,40,8,5,"us_stocks_financial
(2 classes)"
