dataset,dataset_display,model,seed,class_label,num_classes,class_size,n_members,n_nonmembers,tpr_at_1pct_fpr
46980_MIC,MIC,lightgbm,1,0,5,1084,542,542,0.014760147601476014
46980_MIC,MIC,lightgbm,1,1,5,18,9,9,0.8888888888888888
46980_MIC,MIC,lightgbm,1,2,5,80,40,40,0.0
46980_MIC,MIC,lightgbm,1,3,5,37,19,18,0.7894736842105263
46980_MIC,MIC,lightgbm,1,4,5,15,7,8,1.0
46980_MIC,MIC,lightgbm,2,0,5,1069,535,534,0.028037383177570093
46980_MIC,MIC,lightgbm,2,1,5,16,8,8,1.0
46980_MIC,MIC,lightgbm,2,2,5,87,43,44,0.4418604651162791
46980_MIC,MIC,lightgbm,2,3,5,42,21,21,1.0
46980_MIC,MIC,lightgbm,2,4,5,20,10,10,1.0
46980_MIC,MIC,lightgbm,3,0,5,1068,534,534,0.02247191011235955
46980_MIC,MIC,lightgbm,3,1,5,21,10,11,0.2
46980_MIC,MIC,lightgbm,3,2,5,85,43,42,0.20930232558139536
46980_MIC,MIC,lightgbm,3,3,5,37,19,18,0.2631578947368421
46980_MIC,MIC,lightgbm,3,4,5,23,11,12,0.18181818181818182
46980_MIC,MIC,lightgbm,4,0,5,1081,541,540,0.011090573012939002
46980_MIC,MIC,lightgbm,4,1,5,18,9,9,1.0
46980_MIC,MIC,lightgbm,4,2,5,76,38,38,0.0
46980_MIC,MIC,lightgbm,4,3,5,38,19,19,0.9473684210526315
46980_MIC,MIC,lightgbm,4,4,5,21,10,11,1.0
46980_MIC,MIC,lightgbm,5,0,5,1065,533,532,0.013133208255159476
46980_MIC,MIC,lightgbm,5,1,5,21,10,11,1.0
46980_MIC,MIC,lightgbm,5,2,5,83,42,41,0.30952380952380953
46980_MIC,MIC,lightgbm,5,3,5,43,21,22,0.8095238095238095
46980_MIC,MIC,lightgbm,5,4,5,22,11,11,1.0
46980_MIC,MIC,mlp,1,0,5,1084,542,542,0.01845018450184502
46980_MIC,MIC,mlp,1,1,5,18,9,9,1.0
46980_MIC,MIC,mlp,1,2,5,80,40,40,0.325
46980_MIC,MIC,mlp,1,3,5,37,19,18,0.8421052631578947
46980_MIC,MIC,mlp,1,4,5,15,7,8,1.0
