dataset,dataset_display,model,model_display,seed,score,membership
credit_rating,credit_rating,lightgbm,LightGBM,1,0.9862204724409449,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.21850393700787402,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.09251968503937008,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.9940944881889764,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.9862204724409449,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.84251968503937,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.6161417322834646,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,1.0,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.015748031496062992,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.8641732283464567,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.9921259842519685,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.17716535433070865,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.7854330708661418,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.005905511811023622,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.9468503937007874,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.9921259842519685,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.84251968503937,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.7165354330708661,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.2637795275590551,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.4409448818897638,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.4468503937007874,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.9153543307086615,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.18503937007874016,Non-member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.9901574803149606,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.8622047244094488,Member
credit_rating,credit_rating,lightgbm,LightGBM,1,0.9881889763779528,Non-member
