dataset,dataset_display,class_label,num_classes,tpr_at_1pct_fpr,tpr_mean,tpr_std,class_size,n_members,n_nonmembers,n_runs,n_models,n_seeds,dataset_plot
credit_rating,credit_rating,0,9,0.020340870161014046,0.11355023124357658,0.15321625938084232,290.5,153.5,137.0,8,4,2,credit_rating
credit_rating,credit_rating,0,10,0.02368763961280715,0.14086995557716755,0.19392617917008081,308.0,147.0,157.0,12,4,3,credit_rating
credit_rating,credit_rating,1,9,0.029411764705882353,0.22724089635854344,0.37840368466567437,67.5,38.0,29.5,8,4,2,credit_rating
credit_rating,credit_rating,1,10,0.0,0.14505070546737214,0.32672829331706166,68.0,28.0,37.0,12,4,3,credit_rating
credit_rating,credit_rating,2,9,1.0,0.9375,0.125,6.0,4.0,2.0,4,4,1,credit_rating
credit_rating,credit_rating,2,10,1.0,0.7152777777777778,0.4300257411448041,6.0,3.0,2.0,12,4,3,credit_rating
credit_rating,credit_rating,3,9,0.26227492314448836,0.3447628458498024,0.37642319326089513,224.5,107.0,117.5,8,4,2,credit_rating
credit_rating,credit_rating,3,10,0.01740314769975787,0.17768866020984664,0.31263355731701425,217.0,118.0,99.0,12,4,3,credit_rating
credit_rating,credit_rating,4,9,0.2453416149068323,0.2977811376266754,0.3273443315017625,364.5,175.5,189.0,8,4,2,credit_rating
credit_rating,credit_rating,4,10,0.038794709388971685,0.1747198896276765,0.2737157852168775,367.0,183.0,182.0,12,4,3,credit_rating
credit_rating,credit_rating,5,9,0.11350231501961132,0.2634551299065145,0.34201662292537643,513.5,260.5,253.0,8,4,2,credit_rating
credit_rating,credit_rating,5,10,0.05982331476858076,0.16241839792037938,0.20583010715335734,501.0,246.0,260.0,12,4,3,credit_rating
credit_rating,credit_rating,6,10,1.0,0.75,0.4629100498862757,2.0,1.0,1.0,8,4,2,credit_rating
credit_rating,credit_rating,7,9,0.75,0.625,0.44320263021395917,4.0,1.5,2.5,8,4,2,credit_rating
credit_rating,credit_rating,7,10,1.0,0.8958333333333334,0.29112503822032876,5.0,1.0,3.0,12,4,3,credit_rating
credit_rating,credit_rating,8,9,0.5122222222222222,0.49805555555555553,0.5012414042417871,51.5,21.5,30.0,8,4,2,credit_rating
credit_rating,credit_rating,8,10,0.6000000000000001,0.5416858237547894,0.4314469286429027,52.0,29.0,23.0,12,4,3,credit_rating
locations,locations,0,10,0.05505952380952381,0.17518150252525252,0.29140630690710834,127.0,63.0,64.0,20,4,5,locations
locations,locations,1,10,0.0373015873015873,0.07497346097529921,0.12421096406499905,132.0,66.0,66.0,20,4,5,locations
locations,locations,2,10,0.09649122807017543,0.1580629678391111,0.24524719594356098,112.0,56.0,56.0,20,4,5,locations
locations,locations,3,10,0.09679937548790007,0.18782870714597175,0.24158733401709348,124.0,62.0,62.0,20,4,5,locations
locations,locations,4,10,0.23513513513513515,0.3165898461020412,0.32488702073306563,74.0,37.0,37.0,20,4,5,locations
locations,locations,5,10,0.21937953263497179,0.3564392108026274,0.36611997083285275,137.0,68.0,69.0,20,4,5,locations
locations,locations,6,10,0.1213733075435203,0.24252699871050934,0.29823988324713757,87.0,44.0,43.0,20,4,5,locations
locations,locations,7,10,0.11305202661826981,0.2614539468800828,0.3145344221409785,227.0,113.0,114.0,20,4,5,locations
locations,locations,8,10,0.06481481481481481,0.28022954896820595,0.39553779837205066,113.0,57.0,56.0,20,4,5,locations
locations,locations,9,10,0.15746996996996998,0.2861426865545695,0.33312806209013013,148.0,74.0,74.0,20,4,5,locations
