dataset,dataset_display,model,model_display,seed,score,membership
locations,locations,lightgbm,LightGBM,1,0.4532710280373832,Non-member
locations,locations,lightgbm,LightGBM,1,0.6728971962616822,Member
locations,locations,lightgbm,LightGBM,1,0.22429906542056074,Non-member
locations,locations,lightgbm,LightGBM,1,0.24065420560747663,Non-member
locations,locations,lightgbm,LightGBM,1,0.46261682242990654,Non-member
locations,locations,lightgbm,LightGBM,1,0.6939252336448598,Member
locations,locations,lightgbm,LightGBM,1,0.1191588785046729,Non-member
locations,locations,lightgbm,LightGBM,1,0.3107476635514019,Non-member
locations,locations,lightgbm,LightGBM,1,0.8481308411214953,Member
locations,locations,lightgbm,LightGBM,1,0.018691588785046728,Non-member
locations,locations,lightgbm,LightGBM,1,0.8060747663551402,Member
locations,locations,lightgbm,LightGBM,1,1.0,Member
locations,locations,lightgbm,LightGBM,1,0.7827102803738317,Member
locations,locations,lightgbm,LightGBM,1,0.883177570093458,Member
locations,locations,lightgbm,LightGBM,1,0.1261682242990654,Non-member
locations,locations,lightgbm,LightGBM,1,0.009345794392523364,Non-member
locations,locations,lightgbm,LightGBM,1,0.9742990654205608,Member
locations,locations,lightgbm,LightGBM,1,0.6448598130841121,Member
locations,locations,lightgbm,LightGBM,1,0.8481308411214953,Member
locations,locations,lightgbm,LightGBM,1,0.7827102803738317,Non-member
locations,locations,lightgbm,LightGBM,1,0.9672897196261683,Member
locations,locations,lightgbm,LightGBM,1,0.030373831775700934,Non-member
locations,locations,lightgbm,LightGBM,1,0.8294392523364486,Member
locations,locations,lightgbm,LightGBM,1,0.8785046728971962,Member
locations,locations,lightgbm,LightGBM,1,0.7429906542056075,Member
locations,locations,lightgbm,LightGBM,1,0.7827102803738317,Member
locations,locations,lightgbm,LightGBM,1,0.8995327102803738,Member
locations,locations,lightgbm,LightGBM,1,0.6658878504672897,Member
locations,locations,lightgbm,LightGBM,1,0.6705607476635514,Non-member
locations,locations,lightgbm,LightGBM,1,0.09813084112149532,Non-member
locations,locations,lightgbm,LightGBM,1,0.5023364485981309,Non-member
locations,locations,lightgbm,LightGBM,1,0.42990654205607476,Non-member
locations,locations,lightgbm,LightGBM,1,1.0,Member
locations,locations,lightgbm,LightGBM,1,1.0,Member
locations,locations,lightgbm,LightGBM,1,0.866822429906542,Member
locations,locations,lightgbm,LightGBM,1,0.8060747663551402,Member
locations,locations,lightgbm,LightGBM,1,1.0,Member
locations,locations,lightgbm,LightGBM,1,0.8060747663551402,Non-member
locations,locations,lightgbm,LightGBM,1,0.8177570093457944,Member
locations,locations,lightgbm,LightGBM,1,0.6355140186915887,Member
locations,locations,lightgbm,LightGBM,1,0.7827102803738317,Member
locations,locations,lightgbm,LightGBM,1,0.8504672897196262,Member
locations,locations,lightgbm,LightGBM,1,0.8317757009345794,Member
locations,locations,lightgbm,LightGBM,1,0.7827102803738317,Member
locations,locations,lightgbm,LightGBM,1,0.7593457943925234,Member
locations,locations,lightgbm,LightGBM,1,0.5584112149532711,Non-member
locations,locations,lightgbm,LightGBM,1,0.24532710280373832,Non-member
locations,locations,lightgbm,LightGBM,1,0.5023364485981309,Non-member
locations,locations,lightgbm,LightGBM,1,0.5373831775700935,Non-member
locations,locations,lightgbm,LightGBM,1,0.0911214953271028,Non-member
locations,locations,lightgbm,LightGBM,1,0.9836448598130841,Member
locations,locations,lightgbm,LightGBM,1,0.6892523364485982,Member
locations,locations,lightgbm,LightGBM,1,0.9485981308411215,Member
locations,locations,lightgbm,LightGBM,1,0.6939252336448598,Member
locations,locations,lightgbm,LightGBM,1,0.8130841121495327,Member
locations,locations,lightgbm,LightGBM,1,0.9042056074766355,Member
locations,locations,lightgbm,LightGBM,1,1.0,Member
locations,locations,lightgbm,LightGBM,1,0.8434579439252337,Member
locations,locations,lightgbm,LightGBM,1,0.897196261682243,Member
locations,locations,lightgbm,LightGBM,1,0.4158878504672897,Non-member
locations,locations,lightgbm,LightGBM,1,0.20794392523364486,Non-member
locations,locations,lightgbm,LightGBM,1,0.02102803738317757,Non-member
locations,locations,lightgbm,LightGBM,1,0.8504672897196262,Member
locations,locations,lightgbm,LightGBM,1,0.6705607476635514,Member
locations,locations,lightgbm,LightGBM,1,0.8481308411214953,Non-member
locations,locations,lightgbm,LightGBM,1,0.056074766355140186,Non-member
locations,locations,lightgbm,LightGBM,1,1.0,Member
locations,locations,lightgbm,LightGBM,1,0.9579439252336449,Non-member
locations,locations,lightgbm,LightGBM,1,0.9906542056074766,Member
locations,locations,lightgbm,LightGBM,1,0.7429906542056075,Non-member
locations,locations,lightgbm,LightGBM,1,0.6144859813084113,Non-member
locations,locations,lightgbm,LightGBM,1,0.35514018691588783,Non-member
locations,locations,lightgbm,LightGBM,1,0.9906542056074766,Member
locations,locations,lightgbm,LightGBM,1,0.602803738317757,Non-member
locations,locations,lightgbm,LightGBM,1,0.5584112149532711,Non-member
locations,locations,lightgbm,LightGBM,1,0.897196261682243,Member
locations,locations,lightgbm,LightGBM,1,0.7546728971962616,Non-member
locations,locations,lightgbm,LightGBM,1,0.009345794392523364,Non-member
locations,locations,lightgbm,LightGBM,1,1.0,Member
locations,locations,lightgbm,LightGBM,1,0.9602803738317757,Member
