dataset,model,class_label,num_classes,tpr_at_1pct_fpr,tpr_mean,tpr_std,class_size,n_members,n_nonmembers,n_runs,n_seeds,model_display
credit_rating,lightgbm,0,9,0.22784810126582278,0.2182265247415786,0.05062929552434924,296.0,147.0,155.0,5,5,LightGBM
credit_rating,lightgbm,1,9,0.0,0.15,0.33541019662496846,68.0,34.0,33.0,5,5,LightGBM
credit_rating,lightgbm,2,9,1.0,1.0,0.0,6.0,3.5,2.0,4,4,LightGBM
credit_rating,lightgbm,3,9,0.375,0.33344532279314887,0.33904859445397006,220.0,115.0,110.0,5,5,LightGBM
credit_rating,lightgbm,4,9,0.2568306010928962,0.24167014114044916,0.23929705020893904,365.0,183.0,182.0,5,5,LightGBM
credit_rating,lightgbm,5,9,0.20078740157480315,0.1986220383649507,0.10960185977516641,506.0,254.0,254.0,5,5,LightGBM
credit_rating,lightgbm,6,9,1.0,1.0,0.0,2.0,1.0,1.0,2,2,LightGBM
credit_rating,lightgbm,7,9,1.0,1.0,0.0,5.0,1.0,3.0,5,5,LightGBM
credit_rating,lightgbm,8,9,1.0,0.96,0.0692820323027551,52.0,25.0,23.0,5,5,LightGBM
credit_rating,mlp,0,9,0.011904761904761904,0.01185600822607524,0.01189971979969242,296.0,147.0,155.0,5,5,MLP
credit_rating,mlp,1,9,0.0,0.016764705882352942,0.025884024010225645,68.0,34.0,33.0,5,5,MLP
credit_rating,mlp,2,9,0.5,0.5,0.45643546458763845,6.0,3.5,2.0,4,4,MLP
credit_rating,mlp,3,9,0.0,0.006961259079903148,0.009537500760646932,220.0,115.0,110.0,5,5,MLP
credit_rating,mlp,4,9,0.02564102564102564,0.020646088883793802,0.020928081377093448,365.0,183.0,182.0,5,5,MLP
credit_rating,mlp,5,9,0.008130081300813009,0.008010176746325898,0.005571209968923128,506.0,254.0,254.0,5,5,MLP
credit_rating,mlp,6,9,0.0,0.0,0.0,2.0,1.0,1.0,2,2,MLP
credit_rating,mlp,7,9,0.5,0.5,0.5,5.0,1.0,3.0,5,5,MLP
credit_rating,mlp,8,9,0.04,0.1215632183908046,0.163308571492909,52.0,25.0,23.0,5,5,MLP
credit_rating,rf,0,9,0.38848920863309355,0.28120924628844346,0.2613646284737231,296.0,147.0,155.0,5,5,RF
credit_rating,rf,1,9,0.7352941176470589,0.5184873949579832,0.4798440740785375,68.0,34.0,33.0,5,5,RF
credit_rating,rf,2,9,1.0,1.0,0.0,6.0,3.5,2.0,4,4,RF
credit_rating,rf,3,9,0.7457627118644068,0.611501654613298,0.35489253307642826,220.0,115.0,110.0,5,5,RF
credit_rating,rf,4,9,0.7128205128205128,0.6050421132618117,0.26876183990457886,365.0,183.0,182.0,5,5,RF
credit_rating,rf,5,9,0.6067415730337079,0.5836661966152412,0.2246428309051048,506.0,254.0,254.0,5,5,RF
credit_rating,rf,6,9,1.0,1.0,0.0,2.0,1.0,1.0,2,2,RF
credit_rating,rf,7,9,1.0,1.0,0.0,5.0,1.0,3.0,5,5,RF
credit_rating,rf,8,9,0.96,0.9408888888888889,0.08248606316999223,52.0,25.0,23.0,5,5,RF
credit_rating,tabnet,0,9,0.0,0.008476484118827388,0.012786405168892397,296.0,147.0,155.0,5,5,TabNet
credit_rating,tabnet,1,9,0.0,0.026455026455026454,0.04166141732281382,68.0,34.0,33.0,5,5,TabNet
credit_rating,tabnet,2,9,0.6666666666666666,0.5833333333333333,0.5,6.0,3.5,2.0,4,4,TabNet
credit_rating,tabnet,3,9,0.020202020202020204,0.02616510137696578,0.029700329230151288,220.0,115.0,110.0,5,5,TabNet
credit_rating,tabnet,4,9,0.021052631578947368,0.028419212023049662,0.02005957651849106,365.0,183.0,182.0,5,5,TabNet
credit_rating,tabnet,5,9,0.004149377593360996,0.02103395113281594,0.02970662794941374,506.0,254.0,254.0,5,5,TabNet
credit_rating,tabnet,6,9,1.0,1.0,0.0,2.0,1.0,1.0,2,2,TabNet
credit_rating,tabnet,7,9,0.75,0.65,0.4183300132670378,5.0,1.0,3.0,5,5,TabNet
credit_rating,tabnet,8,9,0.08,0.07448275862068966,0.075478654919088,52.0,25.0,23.0,5,5,TabNet
locations,lightgbm,0,10,0.047619047619047616,0.10857142857142858,0.16762986978050895,127.0,63.0,64.0,5,5,LightGBM
locations,lightgbm,1,10,0.06060606060606061,0.07263008233596469,0.03988696942670261,132.0,66.0,66.0,5,5,LightGBM
locations,lightgbm,2,10,0.05660377358490566,0.06133670368029851,0.0625958100787972,112.0,56.0,56.0,5,5,LightGBM
locations,lightgbm,3,10,0.06557377049180328,0.13139701890015007,0.13916302800187422,124.0,62.0,62.0,5,5,LightGBM
locations,lightgbm,4,10,0.1891891891891892,0.24607932607932606,0.20316991613873442,74.0,37.0,37.0,5,5,LightGBM
locations,lightgbm,5,10,0.25757575757575757,0.26011159133641,0.17960429392432634,137.0,68.0,69.0,5,5,LightGBM
locations,lightgbm,6,10,0.13636363636363635,0.16559477756286264,0.10722329178872556,87.0,44.0,43.0,5,5,LightGBM
