dataset,model,attack_family,num_seeds
46980_MIC,lightgbm,RMIA,5.0
46980_MIC,mlp,RMIA,5.0
46980_MIC,real-tabpfn,RMIA,5.0
46980_MIC,real-tabpfn,AMIA,5.0
46980_MIC,rf,RMIA,5.0
46980_MIC,tabdpt,RMIA,5.0
46980_MIC,tabdpt,AMIA,5.0
46980_MIC,tabicl,RMIA,5.0
46980_MIC,tabicl,AMIA,5.0
46980_MIC,tabnet,RMIA,5.0
46980_MIC,tabpfn,RMIA,5.0
46980_MIC,tabpfn,AMIA,5.0
credit_rating,lightgbm,RMIA,5.0
credit_rating,mlp,RMIA,5.0
credit_rating,real-tabpfn,RMIA,5.0
credit_rating,real-tabpfn,AMIA,5.0
credit_rating,rf,RMIA,5.0
credit_rating,tabdpt,RMIA,5.0
credit_rating,tabdpt,AMIA,5.0
credit_rating,tabicl,RMIA,5.0
credit_rating,tabicl,AMIA,5.0
credit_rating,tabnet,RMIA,5.0
credit_rating,tabpfn,RMIA,5.0
credit_rating,tabpfn,AMIA,5.0
dropout_success,lightgbm,RMIA,5.0
dropout_success,mlp,RMIA,5.0
dropout_success,real-tabpfn,RMIA,5.0
dropout_success,real-tabpfn,AMIA,5.0
dropout_success,rf,RMIA,5.0
dropout_success,tabdpt,RMIA,5.0
dropout_success,tabdpt,AMIA,5.0
dropout_success,tabicl,RMIA,5.0
dropout_success,tabicl,AMIA,5.0
dropout_success,tabnet,RMIA,5.0
dropout_success,tabpfn,RMIA,5.0
dropout_success,tabpfn,AMIA,5.0
locations,lightgbm,RMIA,5.0
locations,mlp,RMIA,5.0
locations,real-tabpfn,RMIA,5.0
locations,real-tabpfn,AMIA,5.0
locations,rf,RMIA,5.0
locations,tabdpt,RMIA,5.0
locations,tabdpt,AMIA,5.0
locations,tabicl,RMIA,5.0
locations,tabicl,AMIA,5.0
locations,tabnet,RMIA,5.0
locations,tabpfn,RMIA,5.0
locations,tabpfn,AMIA,5.0
url,lightgbm,RMIA,5.0
url,mlp,RMIA,5.0
url,real-tabpfn,RMIA,5.0
url,real-tabpfn,AMIA,5.0
url,rf,RMIA,5.0
url,tabdpt,RMIA,5.0
url,tabdpt,AMIA,5.0
url,tabicl,RMIA,5.0
url,tabicl,AMIA,5.0
url,tabnet,RMIA,5.0
url,tabpfn,RMIA,5.0
url,tabpfn,AMIA,5.0
us_stocks_financial,lightgbm,RMIA,5.0
us_stocks_financial,mlp,RMIA,5.0
us_stocks_financial,real-tabpfn,RMIA,5.0
us_stocks_financial,real-tabpfn,AMIA,5.0
us_stocks_financial,rf,RMIA,5.0
us_stocks_financial,tabdpt,RMIA,5.0
us_stocks_financial,tabdpt,AMIA,5.0
us_stocks_financial,tabicl,RMIA,5.0
us_stocks_financial,tabicl,AMIA,5.0
us_stocks_financial,tabnet,RMIA,5.0
us_stocks_financial,tabpfn,RMIA,5.0
us_stocks_financial,tabpfn,AMIA,5.0
