dataset,model,target_train_acc,target_test_acc,target_model_accuracy_pct,train_test_gap_pct_points
46980_MIC,lightgbm,0.9773095623987034,0.9173419773095624,91.73419773095624,5.996758508914102
46980_MIC,mlp,1.0,0.9004862236628849,90.04862236628848,9.95137763371151
46980_MIC,real-tabpfn,0.9461912479740681,0.9222042139384117,92.22042139384116,2.3987034035656385
46980_MIC,rf,0.9257698541329011,0.9173419773095624,91.73419773095624,0.8427876823338787
46980_MIC,tabdpt,1.0,0.9176661264181524,91.76661264181524,8.233387358184762
46980_MIC,tabicl,0.9818476499189627,0.9205834683954619,92.05834683954619,6.126418152350077
46980_MIC,tabnet,0.9727714748784442,0.8852512155591572,88.52512155591572,8.752025931928697
46980_MIC,tabpfn,0.9487844408427877,0.9218800648298217,92.18800648298216,2.6904376012966025
credit_rating,lightgbm,1.0,0.5017082785808147,50.170827858081466,49.829172141918534
credit_rating,mlp,0.3452631578947368,0.33797634691195794,33.797634691195796,0.7286810982778891
credit_rating,real-tabpfn,0.9628947368421052,0.5771353482260184,57.713534822601844,38.575938861608684
credit_rating,rf,0.9876315789473684,0.49750328515111697,49.7503285151117,49.012829379625146
credit_rating,tabdpt,1.0,0.557161629434954,55.7161629434954,44.2838370565046
credit_rating,tabicl,1.0,0.5784494086727989,57.844940867279895,42.155059132720105
credit_rating,tabnet,0.42868421052631583,0.39237844940867284,39.237844940867284,3.6305761117642996
credit_rating,tabpfn,0.9628947368421052,0.5758212877792379,57.58212877792379,38.707344906286735
dropout_success,lightgbm,0.9223628691983123,0.7681735985533453,76.81735985533453,15.418927064496701
dropout_success,mlp,0.786618444846293,0.6845087402049428,68.45087402049428,10.210970464135016
dropout_success,real-tabpfn,0.860759493670886,0.7808318264014467,78.08318264014467,7.992766726943934
dropout_success,rf,0.924291742013261,0.7658830620855938,76.58830620855937,15.840867992766727
dropout_success,tabdpt,0.9960216998191681,0.7733574442435203,77.33574442435203,22.266425557564784
dropout_success,tabicl,0.9430982519590115,0.7802290536467751,78.02290536467751,16.286919831223646
dropout_success,tabnet,0.8817359855334539,0.7265822784810126,72.65822784810126,15.515370705244125
dropout_success,tabpfn,0.8618444846292947,0.7822784810126582,78.22784810126582,7.956600361663657
locations,lightgbm,1.0,0.8124610591900311,81.24610591900311,18.75389408099689
locations,mlp,1.0,0.818380062305296,81.8380062305296,18.161993769470396
locations,real-tabpfn,0.9934477379095163,0.8155763239875389,81.55763239875388,17.787141392197746
locations,rf,0.9893915756630266,0.760436137071651,76.04361370716511,22.895543859137558
locations,tabdpt,1.0,0.8006230529595015,80.06230529595015,19.937694704049846
locations,tabicl,0.9990639625585024,0.8707165109034267,87.07165109034267,12.834745165507567
locations,tabnet,0.9513260530421217,0.6937694704049845,69.37694704049845,25.75565826371372
locations,tabpfn,0.9956318252730109,0.8289719626168225,82.89719626168225,16.665986265618837
url,lightgbm,0.9999533364442371,0.966962202519832,96.6962202519832,3.2991133924405114
url,mlp,0.8460102659822677,0.8390107326178254,83.90107326178254,0.6999533364442256
url,real-tabpfn,0.9992067195520299,0.9726084927671488,97.26084927671488,2.6598226784881107
url,rf,0.9878208119458703,0.9587960802613159,95.87960802613159,2.902473168455444
url,tabdpt,1.0,0.9674755016332245,96.74755016332244,3.252449836677551
url,tabicl,1.0,0.9712552496500233,97.12552496500233,2.87447503499767
url,tabnet,0.9975734951003267,0.9490900606626225,94.90900606626225,4.848343443770419
url,tabpfn,0.9990200653289781,0.9724685020998599,97.246850209986,2.6551563229118225
us_stocks_financial,lightgbm,1.0,1.0,100.0,0.0
us_stocks_financial,mlp,0.7030965391621129,0.6822100789313904,68.22100789313905,2.0886460230722492
us_stocks_financial,real-tabpfn,1.0,0.9986642380085003,99.86642380085003,0.1335761991499651
us_stocks_financial,rf,1.0,0.9995142683667273,99.95142683667272,0.04857316332727013
us_stocks_financial,tabdpt,1.0,0.9357619914996965,93.57619914996965,6.423800850030348
us_stocks_financial,tabicl,1.0,0.9993928354584092,99.93928354584092,0.06071645415908211
us_stocks_financial,tabnet,0.9571341833636916,0.9423193685488768,94.23193685488768,1.4814814814814836
us_stocks_financial,tabpfn,1.0,0.9987856709168185,99.87856709168184,0.12143290831815312
