dataset_name,dataset_display,plot_attack,num_classes,auc,mean_auc,n_models,total_rows,target_model_accuracy_pct,train_test_gap_pct_points
46980_MIC,MIC,RMIA,5,0.6667579047463941,0.7094207476444027,8,617,91.75040518638573,6.061588330632089
credit_rating,credit_rating,RMIA,10,0.9293027699010996,0.8492282056158794,8,760,52.943495400788436,40.43120201950342
dropout_success,dropout_success,RMIA,3,0.7307721667954689,0.7616013681015856,8,1659,77.07655213984327,15.467148884870413
locations,locations,RMIA,10,0.8450485028746944,0.8488418602164648,8,641,81.4018691588785,18.457943925233643
url,url,RMIA,2,0.7274363308117303,0.7094519108976496,8,4286,96.72188520765283,2.888474101726557
us_stocks_financial,us_stocks_financial,RMIA,2,0.673664394684232,0.6698718834892902,8,1647,99.87249544626593,0.1275045537340591
46980_MIC,MIC,AMIA (row_max),5,0.8998693158982791,0.8967759115708623,4,617,92.12317666126418,4.40842787682334
credit_rating,credit_rating,AMIA (row_max),10,0.924684279687392,0.9327067051663325,4,760,57.64783180026282,40.43120201950342
dropout_success,dropout_success,AMIA (row_max),3,0.9358931736984704,0.9351852972134749,4,1659,78.0530440024111,12.13984327908379
locations,locations,AMIA (row_max),10,0.967342450707374,0.9671911829744217,4,641,82.22741433021807,17.22656382890829
url,url,AMIA (row_max),2,0.8712078811327029,0.8737722509275552,4,4286,97.18618758749416,2.7671488567428906
us_stocks_financial,us_stocks_financial,AMIA (row_max),2,0.8255765574765843,0.8143271477754442,4,1647,99.87249544626593,0.1275045537340591
