metric,spearman_r,n_datasets,abs_spearman_r
target_entropy,0.942857142857143,6,0.942857142857143
train_test_gap_pct_points,0.8285714285714287,6,0.8285714285714287
knn_label_disagreement,0.8285714285714287,6,0.8285714285714287
max_abs_corr_with_target,-0.7142857142857143,6,0.7142857142857143
num_classes,0.6179143806533246,6,0.6179143806533246
log_num_features,-0.3714285714285715,6,0.3714285714285715
imbalance_ratio,0.3714285714285715,6,0.3714285714285715
pca_n_components_95pct,-0.2571428571428572,6,0.2571428571428572
mean_abs_skewness,-0.14285714285714288,6,0.14285714285714288
log_total_rows,0.08571428571428573,6,0.08571428571428573
num_binary_features,-0.028571428571428574,6,0.028571428571428574
