group,rmia_original,rmia_finetuned,rmia_delta
FT member,0.1018012548067192,0.2525804493017607,0.1507791944950415
FT member,0.2284962558186601,0.9121635296498684,0.6836672738312083
FT member,0.0516089860352155,0.1234567901234567,0.07184780408824121
FT member,0.8688524590163934,0.3723942521756729,-0.4964582068407205
FT member,0.044930176077717,0.1726371179923092,0.1277069419145922
FT member,0.9577008702691764,0.3723942521756729,-0.5853066180935035
FT member,0.5235782230317749,0.3723942521756729,-0.15118397085610202
FT member,0.8870673952641166,0.3723942521756729,-0.5146731430884437
FT member,0.5355191256830601,0.3723942521756729,-0.16312487350738725
FT member,0.5927949807731229,0.3015583889900829,-0.29123659178303996
FT member,0.0337988261485529,0.1772920461445051,0.14349321999595221
FT member,0.5302570329892734,0.2774741955069824,-0.252782837482291
FT member,0.8435539364501113,0.3723942521756729,-0.47115968427443844
FT member,0.9174256223436552,0.9018417324428254,-0.015583889900829817
FT member,0.33070228698644,0.3723942521756729,0.041691965189232905
FT member,0.5197328476017,0.3723942521756729,-0.14733859542602712
FT member,0.4541590771098968,0.3723942521756729,-0.08176482493422388
FT member,0.8563043918235175,0.3723942521756729,-0.4839101396478446
FT member,0.404776361060514,0.3723942521756729,-0.03238210888484111
FT member,0.7953855494839102,0.3723942521756729,-0.42299129730823726
FT member,0.1772920461445051,0.2129123659178304,0.035620319773325276
FT member,0.6960129528435539,0.3723942521756729,-0.323618700667881
FT member,0.3009512244484922,0.3412264723740134,0.040275247925521174
FT member,0.1123254401942926,0.2517708965796397,0.1394454563853471
FT member,0.7814207650273224,0.3723942521756729,-0.4090265128516495
FT member,0.3248330297510625,0.2912365917830398,-0.0335964379680227
FT member,0.520542400323821,0.3723942521756729,-0.14814814814814814
FT member,0.9050799433313096,0.3412264723740134,-0.5638534709572962
FT member,0.4482898198745193,0.3723942521756729,-0.07589556769884642
FT member,0.7344667071443027,0.3723942521756729,-0.36207245496862983
FT member,0.6059502125075895,0.3723942521756729,-0.2335559603319166
FT member,0.3829184375632463,0.3723942521756729,-0.010524185387573382
FT member,0.8364703501315524,0.3723942521756729,-0.46407609795587945
