dataset,model,seed,source,row_max_auc,row_ent_auc,col_max_auc,col_ent_auc,rmia_score_auc
46980_MIC,real-tabpfn,1,ml_privacy_meter/logs/46980_MIC/real-tabpfn/attack_result_seed_runs.csv,0.83927562918813,0.5642427283162896,0.5121122491062259,0.508681627260047,0.6628061225830009
46980_MIC,real-tabpfn,2,ml_privacy_meter/logs/46980_MIC/real-tabpfn/attack_result_seed_runs.csv,0.8243579404710932,0.5296107846562417,0.4750583809881557,0.4815676313211046,0.7013178736448913
46980_MIC,real-tabpfn,3,ml_privacy_meter/logs/46980_MIC/real-tabpfn/attack_result_seed_runs.csv,0.8202101978255216,0.5452482209887861,0.514862525578622,0.5162074554294976,0.6623543102112223
46980_MIC,real-tabpfn,4,ml_privacy_meter/logs/46980_MIC/real-tabpfn/attack_result_seed_runs.csv,0.8331971766980396,0.5436327290780664,0.4865165528817486,0.488870180120781,0.6479396567802064
46980_MIC,real-tabpfn,5,ml_privacy_meter/logs/46980_MIC/real-tabpfn/attack_result_seed_runs.csv,0.8042536033350058,0.5659672330957817,0.4851112062602281,0.4820851140957579,0.6630911321314774
46980_MIC,tabdpt,1,ml_privacy_meter/logs/46980_MIC/tabdpt/attack_result_seed_runs.csv,0.9849168218677188,0.5983191003680169,,,0.8885113570394731
46980_MIC,tabdpt,2,ml_privacy_meter/logs/46980_MIC/tabdpt/attack_result_seed_runs.csv,0.9915048766841176,0.6146211211776541,,,0.9193462380053008
46980_MIC,tabdpt,3,ml_privacy_meter/logs/46980_MIC/tabdpt/attack_result_seed_runs.csv,0.9877853050652896,0.5929748429820667,,,0.8749609261102895
46980_MIC,tabdpt,4,ml_privacy_meter/logs/46980_MIC/tabdpt/attack_result_seed_runs.csv,0.9932412021361268,0.5896282792515675,,,0.9368079981297068
46980_MIC,tabdpt,5,ml_privacy_meter/logs/46980_MIC/tabdpt/attack_result_seed_runs.csv,0.9966508094533858,0.6100609684020291,,,0.93429413510766
46980_MIC,tabicl,1,ml_privacy_meter/logs/46980_MIC/tabicl/attack_result_seed_runs.csv,0.967553567347625,0.7158520472091393,,,0.8834140203683323
46980_MIC,tabicl,2,ml_privacy_meter/logs/46980_MIC/tabicl/attack_result_seed_runs.csv,0.9775669903779726,0.7638741860153563,,,0.857336303386754
46980_MIC,tabicl,3,ml_privacy_meter/logs/46980_MIC/tabicl/attack_result_seed_runs.csv,0.9705560181670602,0.7465503337369874,,,0.7858041603513629
46980_MIC,tabicl,4,ml_privacy_meter/logs/46980_MIC/tabicl/attack_result_seed_runs.csv,0.9819064905999384,0.7357501792801998,,,0.8703613710929393
46980_MIC,tabicl,5,ml_privacy_meter/logs/46980_MIC/tabicl/attack_result_seed_runs.csv,0.9798155449724052,0.7796771117631451,,,0.8978404944718655
46980_MIC,tabpfn,1,ml_privacy_meter/logs/46980_MIC/tabpfn/attack_result_seed_runs.csv,0.8194247798071391,0.5577702534089506,0.5113714869617982,0.508009162334609,0.6626997365303436
46980_MIC,tabpfn,2,ml_privacy_meter/logs/46980_MIC/tabpfn/attack_result_seed_runs.csv,0.7890614123339524,0.5168983080677403,0.4741705171412885,0.4815676313211046,0.6894315307245547
46980_MIC,tabpfn,3,ml_privacy_meter/logs/46980_MIC/tabpfn/attack_result_seed_runs.csv,0.7865606833924804,0.5401495709095876,0.5155349905040597,0.5141900606531842,0.659468752708904
46980_MIC,tabpfn,4,ml_privacy_meter/logs/46980_MIC/tabpfn/attack_result_seed_runs.csv,0.8116021214166944,0.5355867913178474,0.4912238073598133,0.4902151099716567,0.6527270291497784
46980_MIC,tabpfn,5,ml_privacy_meter/logs/46980_MIC/tabpfn/attack_result_seed_runs.csv,0.7760770602775494,0.5578700724213203,0.4898184607382929,0.4820851140957579,0.6657429029995613
credit_rating,real-tabpfn,1,ml_privacy_meter/logs/credit_rating/real-tabpfn/attack_result_seed_runs.csv,0.923661733176568,0.7535159762085898,0.5274076699633446,0.5238856421605921,0.9365118611245592
credit_rating,real-tabpfn,2,ml_privacy_meter/logs/credit_rating/real-tabpfn/attack_result_seed_runs.csv,0.8886039836779861,0.7094949512414412,0.522331246974203,0.5258722940728958,0.9439406252161284
credit_rating,real-tabpfn,3,ml_privacy_meter/logs/credit_rating/real-tabpfn/attack_result_seed_runs.csv,0.9108254374438068,0.7351260460612766,0.4957915485164949,0.492914447748807,0.9054836088249532
