dataset,model,layer,mean_auc,std_auc,n_seeds,calls_per_layer,n_heads
dropout_success,tabicl,0,0.7261621178942121,0.016433158174306406,5,2,8
dropout_success,tabicl,1,0.8898600106602487,0.027595501993453325,5,2,8
dropout_success,tabicl,2,0.9903703146590047,0.004543217513988367,5,2,8
dropout_success,tabicl,3,0.9825764883745519,0.0039054142660502485,5,2,8
dropout_success,tabicl,4,0.9886040705872692,0.005284164860927051,5,2,8
dropout_success,tabicl,5,0.9468902339550358,0.03675480083877938,5,2,8
dropout_success,tabicl,6,0.7343179711664616,0.021931523310799086,5,2,8
dropout_success,tabicl,7,0.8952953568331141,0.024473368709076106,5,2,8
dropout_success,tabicl,8,0.9905704395735755,0.004342131637861824,5,2,8
dropout_success,tabicl,9,0.9823951115456598,0.002686130529748498,5,2,8
dropout_success,tabicl,10,0.9881297730863965,0.00489234188556999,5,2,8
dropout_success,tabicl,11,0.9487678038688637,0.03987777290371991,5,2,8
locations,tabicl,0,0.8137202871292422,0.0074111730777790515,5,2,8
locations,tabicl,1,0.966002789644296,0.0029870867826908174,5,2,8
locations,tabicl,2,0.9988238781887724,0.000325361984257287,5,2,8
locations,tabicl,3,0.99862510388266,0.0005606793294853289,5,2,8
locations,tabicl,4,0.9977639105564222,0.002200893574353504,5,2,8
locations,tabicl,5,0.7837860430305063,0.05999035771700433,5,2,8
locations,tabicl,6,0.813742157162922,0.0073936854985103655,5,2,8
locations,tabicl,7,0.9660197996704915,0.0029778987473001936,5,2,8
locations,tabicl,8,0.9988248501902692,0.00032481524706356535,5,2,8
locations,tabicl,9,0.9986265618849053,0.0005581512829874045,5,2,8
locations,tabicl,10,0.997765854559416,0.002189476253726448,5,2,8
locations,tabicl,11,0.7838764391697163,0.05994696638704567,5,2,8
