dataset,model,attack,attack_label,score_col,fpr,mean_tpr,std_tpr_across_seeds,mean_auc,std_auc_across_seeds,n_seeds
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0,0.00048221820373719104,0.0010782726835442023,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0002,0.004782218203737192,0.004232011024157283,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0004,0.009082218203737193,0.008584705157260786,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0006000000000000001,0.01338221820373719,0.012981695111410186,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0008,0.015574704210798245,0.012839854205560733,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.001,0.017737561353655385,0.012726089842575748,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0012000000000000001,0.019900418496512532,0.012707425595333265,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0014,0.021765112087028908,0.012994196247394159,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0016,0.02362130256321938,0.013404438425350579,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0018000000000000002,0.02547749303940986,0.013922143903296547,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.002,0.026621722781939777,0.014033970297981018,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0022,0.027735056115273115,0.014130246959252095,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0024000000000000002,0.028848389448606453,0.014230844725568015,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0026000000000000003,0.03005239909297052,0.014220528825503698,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0028,0.031261732426303854,0.0142169347405388,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.003,0.03247106575963719,0.014227097118717882,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0032,0.03355630827520882,0.014402771041053048,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0034000000000000002,0.034632308275208815,0.014618665866054193,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0036000000000000003,0.03570830827520882,0.014862765253147529,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0038,0.037262102126926724,0.014926897129582199,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.004,0.03846476879359338,0.015140580506119534,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.004200000000000001,0.03966743546026006,0.015377317620759216,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0044,0.041411874278825464,0.014757524975935826,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0046,0.04321454094549212,0.014057042204049457,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0048000000000000004,0.04501720761215879,0.013371915593502414,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.005,0.04716796693360888,0.013337492582760319,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.005200000000000001,0.04881977645741842,0.01242367898409399,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0054,0.05047158598122794,0.011523655980535825,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0056,0.052887113407388275,0.010269364328821808,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0058000000000000005,0.05430958959786447,0.009586068026796436,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.006,0.05573206578834065,0.008913400234486196,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.006200000000000001,0.0570845039180229,0.008965503039046351,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0064,0.05786583725135623,0.008832305844078217,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0066,0.058647170584689566,0.008721488371524571,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0068000000000000005,0.059326804098854734,0.008761861200573904,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.007,0.05998813743218806,0.008849505677136294,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.007200000000000001,0.06064947076552139,0.00896077233682029,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0074,0.06155246895720312,0.009257038669713467,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0076,0.06221446895720313,0.009421403419282577,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0078000000000000005,0.06287646895720314,0.009612999523830651,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.008,0.06370774132437784,0.010085283574466508,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.0082,0.06442916989580642,0.010407039858141575,0.7158132836000394,0.013356387075550258,5
dropout_success,tabpfn,rmia,RMIA,rmia_score,0.008400000000000001,0.065150598467235,0.01074624871385744,0.7158132836000394,0.013356387075550258,5
