dataset,model,seed,layer,row_max_auc,n_samples,n_members,n_nonmembers,calls_per_layer,n_heads,source
locations,tabicl,1,0,0.8228527271931998,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,1,0.9707135948989362,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,2,0.9987801381214128,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,3,0.9986440579118492,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,4,0.9993900690607064,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,5,0.7078941101569297,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,6,0.8228284271557778,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,7,0.9707330349288738,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,8,0.9987849981288971,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,9,0.9986562079305602,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,10,0.9993949290681908,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,1,11,0.7078260700521479,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed1/amia/signals/attn_signals_0.npz
locations,tabicl,2,0,0.8179368296227176,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,1,0.9660844377700342,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,2,0.9987412580615375,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,3,0.998051136998751,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,4,0.9981677771783768,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,5,0.7950267543412016,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,6,0.8179246796040066,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,7,0.9660649977400965,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,8,0.998748548072764,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,9,0.9980608570137198,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,10,0.9981653471746347,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,2,11,0.7952794747303911,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed2/amia/signals/attn_signals_0.npz
locations,tabicl,3,0,0.8121971607836275,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,1,0.9632073133392626,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,2,0.9983451674515579,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,3,0.9995285792740122,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,4,0.9983014273841981,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,5,0.7557578938671565,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,6,0.8122409008509872,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,7,0.963212173346747,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,8,0.9983427374478158,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,9,0.99952614927027,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,10,0.9982917073692295,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,3,11,0.756022764275057,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed3/amia/signals/attn_signals_0.npz
locations,tabicl,4,0,0.8126175514310292,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed4/amia/signals/attn_signals_0.npz
locations,tabicl,4,1,0.9663614581966457,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed4/amia/signals/attn_signals_0.npz
locations,tabicl,4,2,0.999161648708939,1283,641,642,2,8,ml_privacy_meter/logs/locations/tabicl/seed4/amia/signals/attn_signals_0.npz
