dataset,model,row_max_auc,row_ent_auc,col_max_auc,col_ent_auc,rmia_score_auc,row_max_auc_std,row_ent_auc_std,col_max_auc_std,col_ent_auc_std,rmia_score_auc_std,num_seeds,rmia_auc
46980_MIC,real-tabpfn,0.824258909503558,0.5497403392270331,0.4947321829629961,0.4954824016454376,0.6675018190701596,0.013435109218079265,0.015299610854041693,0.017708865346612857,0.015973235673591744,0.01996374409199783,5,0.6675018190701596
46980_MIC,tabdpt,0.9908198030413278,0.6011208624362668,,,0.9107841308784861,0.004593106246113937,0.010822077580760385,,,0.027760809148707925,5,0.910784130878486
46980_MIC,tabicl,0.9754797222930003,0.7483407716009656,,,0.8589512699342509,0.006154798773614561,0.024700703803078004,,,0.043572055579434214,5,0.8589512699342509
46980_MIC,tabpfn,0.7965452114455631,0.5416549992250892,0.49642385254105054,0.49521341567526245,0.6660139904226284,0.018199096461865807,0.01713631549406536,0.016989334714657307,0.01506143236961181,0.013953695188382765,5,0.6660139904226284
credit_rating,real-tabpfn,0.9018099453627499,0.7226542291998064,0.5050610346496992,0.5004445328169307,0.9296579984784563,0.015844429358463787,0.02083599747199386,0.018360807620801518,0.02491264591668339,0.015311282706687654,5,0.9296579984784564
credit_rating,tabdpt,0.9798201812020195,0.9016864928418287,,,0.9795826129054568,0.004433075172159893,0.01924715283949889,,,0.0030187593774725994,5,0.9795826129054568
credit_rating,tabicl,0.947558614012034,0.8350133135071582,,,0.9826991838993016,0.017516756328933326,0.03017420442907256,,,0.0046667337149703045,5,0.9826991838993016
credit_rating,tabpfn,0.9016380800885262,0.7210943011273255,0.5048971228992323,0.5013335984507918,0.9289475413237429,0.015590523060279863,0.021185419713423685,0.0185261766633049,0.024252851294445064,0.013840799634418966,5,0.9289475413237428
dropout_success,real-tabpfn,0.8699349012691655,0.5716466087583354,0.5026381753897949,0.4996777218605223,0.7097187750814687,0.02447093430645053,0.0067055232848316736,0.006964174234019171,0.005131579956433336,0.014757589129838256,5,0.7097187750814689
dropout_success,tabdpt,0.9990199401877933,0.8261595745492558,,,0.9749289407585927,0.00014749713738292647,0.012376544859817401,,,0.005200606350750782,5,0.9749289407585928
dropout_success,tabicl,0.992799063758388,0.7446899135662383,,,0.8672009144415123,0.003416144967864259,0.021394124422021047,,,0.01888580869245876,5,0.8672009144415125
dropout_success,tabpfn,0.8789872836385528,0.5734857378298219,0.503374146753184,0.500138139964633,0.7158132836000394,0.02851201236117798,0.005059099826118226,0.006533772948916174,0.004416377549831848,0.013356387075550244,5,0.7158132836000394
locations,real-tabpfn,0.9366133523845626,0.6369119998444799,0.5053217081954307,0.5097652130384281,0.8175740300640063,0.013220247150644909,0.01243633226251789,0.022861848999432402,0.021713545152960645,0.021160411711372312,5,0.8175740300640063
locations,tabdpt,0.9999995139992516,0.9253330320128693,,,0.9015083033227871,1.0867307105179078e-06,0.010797897936989109,,,0.009890731108588029,5,0.9015083033227872
locations,tabicl,0.9980715490301855,0.7597907280777212,,,0.899355563007567,0.0009327267943530945,0.008244036619324257,,,0.008200684196655381,5,0.899355563007567
locations,tabpfn,0.9340803164836874,0.6419562016125505,0.5059437891534353,0.5085356311448719,0.8363312289500925,0.009069960989331202,0.013196514561405463,0.024429739051192185,0.01948233487325465,0.022980745533007812,5,0.8363312289500925
url,real-tabpfn,0.8327177721516342,0.6252655337054369,,,0.7309970889170463,0.01388690632522644,0.014429678260495953,,,0.011496457221679737,5,0.7309970889170462
url,tabdpt,0.9096979901137715,0.7634600950386167,,,0.8836058495151498,0.007863751887942687,0.01902374668554355,,,0.015462228123339158,5,0.8836058495151498
url,tabicl,0.9280384768562481,0.8266614610200353,,,0.872188444553222,0.008744488051255515,0.022988663959890528,,,0.025122369283709263,5,0.872188444553222
url,tabpfn,0.824634764588567,0.6268991664360344,,,0.7238755727064143,0.018572841386562684,0.017470299609727166,,,0.013332226500982789,5,0.7238755727064144
us_stocks_financial,real-tabpfn,0.886752016232343,0.559569550937861,0.4998131687980096,0.5006343708215965,0.7107557336866464,0.030073725080814656,0.011782392041922631,0.01168543373151134,0.010179779614071361,0.034075876277514475,5,0.7107557336866464
us_stocks_financial,tabdpt,0.9307902097206048,0.7002800624785953,,,0.7568328129855796,0.010441056169845406,0.028260735719141988,,,0.01200926359985897,5,0.7568328129855796
us_stocks_financial,tabicl,0.6753652664280034,0.5114076153253196,,,0.8378363044581804,0.010087882672024729,0.004846418584062192,,,0.029975675417543104,5,0.8378363044581804
us_stocks_financial,tabpfn,0.7644010987208256,0.53810092055287,0.5006719729972142,0.5012169833544016,0.6595770345081065,0.032724501443401034,0.006620275386879017,0.010514908271622849,0.009805823798807123,0.02822244082712373,5,0.6595770345081065
