dataset,model,seed,layer,row_max_auc,n_samples,n_members,n_nonmembers,calls_per_layer,n_heads,source
locations,tabpfn,1,0,0.9275324283999397,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,1,0.9595817477558916,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,2,0.8097088369516089,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,3,0.930368242767094,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,4,0.9560120722585914,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,5,0.7473330708929292,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,6,0.8550745768148482,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,7,0.9561335724457015,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,8,0.8731586646643436,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,9,0.9686067816544438,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,10,0.9677878703933204,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,11,0.823610888360768,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,12,0.8705755706863788,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,13,0.9071155369579269,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,14,0.8262377224060925,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,15,0.9050670438032475,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,16,0.905215274031522,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,17,0.8190667813628433,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,18,0.8493251879607895,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,19,0.8987709041071924,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,20,0.8679803266897032,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,21,0.8748110672090434,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,22,0.9085759692069927,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
locations,tabpfn,1,23,0.813985643537891,1283,641,642,8,3,ml_privacy_meter/logs/locations/tabpfn/seed1/amia/signals/attn_signals_0.npz
