dataset,model,model_label,threshold,selected_members,selected_nonmembers,selected_rate,selected_member_share
locations,tabpfn,TabPFN,0.011535421,641,332,0.7583787996882307,0.6587872559095581
locations,tabpfn,TabPFN,0.010044306,641,327,0.7544816835541699,0.6621900826446281
locations,tabpfn,TabPFN,0.010542464,641,226,0.6757599376461418,0.7393310265282583
locations,tabpfn,TabPFN,0.010162244,641,330,0.7568199532346064,0.6601441812564367
locations,tabpfn,TabPFN,0.010192859,641,378,0.79423226812159,0.6290480863591756
locations,real-tabpfn,Real-TabPFN,0.009855691,641,325,0.7529228371005456,0.6635610766045549
locations,real-tabpfn,Real-TabPFN,0.0095995255,641,312,0.7427903351519876,0.6726128016789087
locations,real-tabpfn,Real-TabPFN,0.010232408,641,225,0.6749805144193297,0.7401847575057737
locations,real-tabpfn,Real-TabPFN,0.009902486,641,266,0.7069368667186282,0.7067254685777288
locations,real-tabpfn,Real-TabPFN,0.010192787,641,337,0.7622759158222915,0.6554192229038854
locations,tabicl,TabICL,0.02273126,641,56,0.5432579890880749,0.9196556671449068
locations,tabicl,TabICL,0.022425493,641,51,0.539360872954014,0.9263005780346821
locations,tabicl,TabICL,0.021950116,641,47,0.5362431800467654,0.9316860465116279
locations,tabicl,TabICL,0.023802644,641,13,0.509742790335152,0.9801223241590215
locations,tabicl,TabICL,0.022021689,641,57,0.544037412314887,0.9183381088825215
locations,tabdpt,TabDPT,0.057236567,641,0,0.49961028838659394,1.0
locations,tabdpt,TabDPT,0.0536819,641,1,0.5003897116134061,0.9984423676012462
locations,tabdpt,TabDPT,0.058821023,641,0,0.49961028838659394,1.0
locations,tabdpt,TabDPT,0.049964372,641,0,0.49961028838659394,1.0
locations,tabdpt,TabDPT,0.056967545,641,0,0.49961028838659394,1.0
dropout_success,tabpfn,TabPFN,0.008605203,1659,1142,0.8441832429174201,0.5922884684041414
dropout_success,tabpfn,TabPFN,0.008370053,1659,1356,0.9086799276672695,0.5502487562189055
dropout_success,tabpfn,TabPFN,0.008756969,1659,998,0.8007836045810729,0.6243884079789236
dropout_success,tabpfn,TabPFN,0.008589654,1659,1270,0.8827606992163954,0.5664049163537044
dropout_success,tabpfn,TabPFN,0.007747252,1659,1334,0.9020494273658831,0.5542933511526896
dropout_success,real-tabpfn,Real-TabPFN,0.008469513,1659,1248,0.8761301989150091,0.5706914344685242
dropout_success,real-tabpfn,Real-TabPFN,0.008308965,1659,1381,0.9162145871006631,0.5457236842105263
dropout_success,real-tabpfn,Real-TabPFN,0.008730178,1659,1009,0.8040988547317661,0.6218140929535232
dropout_success,real-tabpfn,Real-TabPFN,0.0086056935,1659,1278,0.8851717902350814,0.5648621041879469
dropout_success,real-tabpfn,Real-TabPFN,0.0076557365,1659,1443,0.9349005424954792,0.534816247582205
dropout_success,tabicl,TabICL,0.018965708,1659,346,0.6042796865581676,0.827431421446384
dropout_success,tabicl,TabICL,0.022040548,1659,140,0.5421940928270043,0.9221789883268483
dropout_success,tabicl,TabICL,0.020216305,1659,178,0.5536467751657626,0.9031028851388133
dropout_success,tabicl,TabICL,0.01975946,1659,362,0.6091018685955395,0.8208807521029193
dropout_success,tabicl,TabICL,0.026886933,1659,78,0.523508137432188,0.9550949913644214
dropout_success,tabdpt,TabDPT,0.034788024,1659,22,0.5066305003013863,0.9869125520523498
dropout_success,tabdpt,TabDPT,0.03540293,1659,25,0.5075346594333936,0.9851543942992874
dropout_success,tabdpt,TabDPT,0.03339716,1659,36,0.5108499095840868,0.9787610619469026
dropout_success,tabdpt,TabDPT,0.03315984,1659,60,0.5180831826401446,0.9650959860383944
dropout_success,tabdpt,TabDPT,0.034319147,1659,31,0.5093429776974081,0.9816568047337279
