dataset,model,model_label,row_max,member
locations,tabpfn,TabPFN,0.012350228,Non-member
locations,tabpfn,TabPFN,0.01477692,Member
locations,tabpfn,TabPFN,0.00997038,Non-member
locations,tabpfn,TabPFN,0.010272685,Non-member
locations,tabpfn,TabPFN,0.012495276,Non-member
locations,tabpfn,TabPFN,0.014896088,Member
locations,tabpfn,TabPFN,0.010749164,Non-member
locations,tabpfn,TabPFN,0.010965831,Non-member
locations,tabpfn,TabPFN,0.01511793,Member
locations,tabpfn,TabPFN,0.01202105,Non-member
locations,tabpfn,TabPFN,0.012850725,Member
locations,tabpfn,TabPFN,0.017511912,Member
locations,tabpfn,TabPFN,0.013188582,Member
locations,tabpfn,TabPFN,0.01319929,Member
locations,tabpfn,TabPFN,0.011079022,Non-member
locations,tabpfn,TabPFN,0.011028092,Non-member
locations,tabpfn,TabPFN,0.014127342,Member
locations,tabpfn,TabPFN,0.013508659,Member
locations,tabpfn,TabPFN,0.012544384,Member
locations,tabpfn,TabPFN,0.0107212365,Non-member
locations,tabpfn,TabPFN,0.015216842,Member
locations,tabpfn,TabPFN,0.010467138,Non-member
locations,tabpfn,TabPFN,0.013471005,Member
locations,tabpfn,TabPFN,0.013186099,Member
locations,tabpfn,TabPFN,0.0150866425,Member
locations,tabpfn,TabPFN,0.014461543,Member
locations,tabpfn,TabPFN,0.014570372,Member
locations,tabpfn,TabPFN,0.014940376,Member
locations,tabpfn,TabPFN,0.011835168,Non-member
locations,tabpfn,TabPFN,0.011156036,Non-member
locations,tabpfn,TabPFN,0.0112691065,Non-member
locations,tabpfn,TabPFN,0.011746541,Non-member
locations,tabpfn,TabPFN,0.022146437,Member
locations,tabpfn,TabPFN,0.018041559,Member
locations,tabpfn,TabPFN,0.013778676,Member
locations,tabpfn,TabPFN,0.0229716,Member
locations,tabpfn,TabPFN,0.012448659,Member
locations,tabpfn,TabPFN,0.0114639215,Non-member
locations,tabpfn,TabPFN,0.01428027,Member
locations,tabpfn,TabPFN,0.023755036,Member
locations,tabpfn,TabPFN,0.011932153,Member
locations,tabpfn,TabPFN,0.013990308,Member
locations,tabpfn,TabPFN,0.015190297,Member
locations,tabpfn,TabPFN,0.017033577,Member
locations,tabpfn,TabPFN,0.017445266,Member
locations,tabpfn,TabPFN,0.012959663,Non-member
locations,tabpfn,TabPFN,0.010978191,Non-member
locations,tabpfn,TabPFN,0.012363983,Non-member
locations,tabpfn,TabPFN,0.012347685,Non-member
locations,tabpfn,TabPFN,0.013076412,Non-member
locations,tabpfn,TabPFN,0.012899196,Member
locations,tabpfn,TabPFN,0.013574073,Member
locations,tabpfn,TabPFN,0.013522529,Member
locations,tabpfn,TabPFN,0.014148517,Member
locations,tabpfn,TabPFN,0.012593682,Member
locations,tabpfn,TabPFN,0.014222081,Member
locations,tabpfn,TabPFN,0.016137846,Member
locations,tabpfn,TabPFN,0.013219534,Member
locations,tabpfn,TabPFN,0.013174615,Member
locations,tabpfn,TabPFN,0.012869808,Non-member
locations,tabpfn,TabPFN,0.012496183,Non-member
locations,tabpfn,TabPFN,0.010343325,Non-member
locations,tabpfn,TabPFN,0.015727498,Member
locations,tabpfn,TabPFN,0.013152737,Member
locations,tabpfn,TabPFN,0.011681501,Non-member
locations,tabpfn,TabPFN,0.010411678,Non-member
locations,tabpfn,TabPFN,0.022275653,Member
locations,tabpfn,TabPFN,0.010972713,Non-member
locations,tabpfn,TabPFN,0.013106681,Member
locations,tabpfn,TabPFN,0.011509255,Non-member
locations,tabpfn,TabPFN,0.011780954,Non-member
locations,tabpfn,TabPFN,0.010777879,Non-member
locations,tabpfn,TabPFN,0.012669537,Member
locations,tabpfn,TabPFN,0.011811048,Non-member
locations,tabpfn,TabPFN,0.011733807,Non-member
locations,tabpfn,TabPFN,0.012775114,Member
locations,tabpfn,TabPFN,0.01063569,Non-member
locations,tabpfn,TabPFN,0.0131285945,Non-member
locations,tabpfn,TabPFN,0.015115444,Member
locations,tabpfn,TabPFN,0.01534759,Member
locations,tabpfn,TabPFN,0.014128536,Member
locations,tabpfn,TabPFN,0.0108641535,Non-member
locations,tabpfn,TabPFN,0.012139585,Member
locations,tabpfn,TabPFN,0.014922281,Member
locations,tabpfn,TabPFN,0.012036007,Non-member
locations,tabpfn,TabPFN,0.013681079,Member
locations,tabpfn,TabPFN,0.015403085,Member
locations,tabpfn,TabPFN,0.013044647,Member
locations,tabpfn,TabPFN,0.014704049,Member
locations,tabpfn,TabPFN,0.010417533,Non-member
locations,tabpfn,TabPFN,0.010142837,Non-member
locations,tabpfn,TabPFN,0.010954296,Non-member
locations,tabpfn,TabPFN,0.010923318,Non-member
locations,tabpfn,TabPFN,0.012799893,Member
locations,tabpfn,TabPFN,0.020244438,Member
locations,tabpfn,TabPFN,0.017144084,Member
locations,tabpfn,TabPFN,0.017520467,Member
locations,tabpfn,TabPFN,0.012542069,Non-member
locations,tabpfn,TabPFN,0.019991793,Member
locations,tabpfn,TabPFN,0.013457278,Member
locations,tabpfn,TabPFN,0.011224604,Non-member
locations,tabpfn,TabPFN,0.011817238,Non-member
locations,tabpfn,TabPFN,0.011695193,Non-member
locations,tabpfn,TabPFN,0.012681665,Member
locations,tabpfn,TabPFN,0.01253518,Member
locations,tabpfn,TabPFN,0.01185657,Non-member
locations,tabpfn,TabPFN,0.024080796,Member
locations,tabpfn,TabPFN,0.016168946,Member
locations,tabpfn,TabPFN,0.0107832365,Non-member
locations,tabpfn,TabPFN,0.011043403,Non-member
locations,tabpfn,TabPFN,0.0126306955,Member
locations,tabpfn,TabPFN,0.010819991,Non-member
locations,tabpfn,TabPFN,0.013778898,Non-member
locations,tabpfn,TabPFN,0.012579267,Member
locations,tabpfn,TabPFN,0.013659479,Member
locations,tabpfn,TabPFN,0.011629757,Non-member
locations,tabpfn,TabPFN,0.012132385,Non-member
locations,tabpfn,TabPFN,0.01429667,Member
locations,tabpfn,TabPFN,0.012409205,Non-member
locations,tabpfn,TabPFN,0.0138074355,Member
locations,tabpfn,TabPFN,0.013415133,Member
locations,tabpfn,TabPFN,0.010269482,Non-member
locations,tabpfn,TabPFN,0.012075836,Non-member
locations,tabpfn,TabPFN,0.012403015,Non-member
locations,tabpfn,TabPFN,0.011290448,Non-member
locations,tabpfn,TabPFN,0.017295262,Member
locations,tabpfn,TabPFN,0.011685825,Non-member
