dataset,model,rmia_auc,row_max_auc,amia_minus_rmia_auc
46980_MIC,real-tabpfn,0.6675018190701596,0.824258909503558,0.15675709043339836
credit_rating,real-tabpfn,0.9296579984784564,0.9018099453627499,-0.027848053115706484
dropout_success,real-tabpfn,0.7097187750814689,0.8699349012691655,0.16021612618769665
locations,real-tabpfn,0.8175740300640063,0.9366133523845626,0.11903932232055625
url,real-tabpfn,0.7309970889170462,0.8327177721516342,0.10172068323458805
us_stocks_financial,real-tabpfn,0.7107557336866464,0.886752016232343,0.17599628254569666
46980_MIC,tabdpt,0.910784130878486,0.9908198030413278,0.0800356721628418
credit_rating,tabdpt,0.9795826129054568,0.9798201812020195,0.00023756829656274014
dropout_success,tabdpt,0.9749289407585928,0.9990199401877933,0.024090999429200455
locations,tabdpt,0.9015083033227872,0.9999995139992516,0.09849121067646438
url,tabdpt,0.8836058495151498,0.9096979901137715,0.02609214059862175
us_stocks_financial,tabdpt,0.7568328129855796,0.9307902097206048,0.1739573967350252
46980_MIC,tabicl,0.8589512699342509,0.9754797222930003,0.11652845235874942
credit_rating,tabicl,0.9826991838993016,0.947558614012034,-0.03514056988726755
dropout_success,tabicl,0.8672009144415125,0.992799063758388,0.12559814931687552
locations,tabicl,0.899355563007567,0.9980715490301855,0.09871598602261844
url,tabicl,0.872188444553222,0.9280384768562481,0.0558500323030261
us_stocks_financial,tabicl,0.8378363044581804,0.6753652664280034,-0.16247103803017693
46980_MIC,tabpfn,0.6660139904226284,0.7965452114455631,0.13053122102293468
credit_rating,tabpfn,0.9289475413237428,0.9016380800885262,-0.027309461235216603
dropout_success,tabpfn,0.7158132836000394,0.8789872836385528,0.16317400003851346
locations,tabpfn,0.8363312289500925,0.9340803164836874,0.0977490875335949
url,tabpfn,0.7238755727064144,0.824634764588567,0.10075919188215254
us_stocks_financial,tabpfn,0.6595770345081065,0.7644010987208256,0.10482406421271917
