model,context_pct,attack,auc_mean,auc_std,num_seeds,dataset
tabpfn,5.0,AMIA row_max,0.8552453717308257,0.03160436077045563,5,dropout_success
tabpfn,5.0,RMIA,0.7602703496914487,0.0741533500535346,5,dropout_success
tabpfn,10.0,AMIA row_max,0.8291858342460753,0.025151981256344456,5,dropout_success
tabpfn,10.0,RMIA,0.7447462577583059,0.0192143130621527,5,dropout_success
tabpfn,20.0,AMIA row_max,0.8122156298911658,0.026455021401774356,5,dropout_success
tabpfn,20.0,RMIA,0.6717913951880028,0.04258279694193684,5,dropout_success
tabpfn,30.0,AMIA row_max,0.8465920018100572,0.029383978017583887,5,dropout_success
tabpfn,30.0,RMIA,0.7059796530185126,0.015995297399760626,5,dropout_success
tabpfn,40.0,AMIA row_max,0.83708499154991,0.029291369878426322,5,dropout_success
tabpfn,40.0,RMIA,0.6884744861800142,0.031958645924895446,5,dropout_success
tabpfn,50.0,AMIA row_max,0.840991178223146,0.010211792483525777,5,dropout_success
tabpfn,50.0,RMIA,0.7137118316450362,0.02988163150036369,5,dropout_success
tabpfn,60.0,AMIA row_max,0.8364645337238958,0.023127019491315317,5,dropout_success
tabpfn,60.0,RMIA,0.7058733870356809,0.029609757634559954,5,dropout_success
tabpfn,70.0,AMIA row_max,0.8624874899938497,0.018518268580955417,5,dropout_success
tabpfn,70.0,RMIA,0.6937215163203184,0.01669265334346787,5,dropout_success
tabpfn,80.0,AMIA row_max,0.8831109033924707,0.016893073538761103,5,dropout_success
tabpfn,80.0,RMIA,0.7282722926364436,0.015522387735359095,5,dropout_success
tabpfn,90.0,AMIA row_max,0.872956045380788,0.024979716570231552,5,dropout_success
tabpfn,90.0,RMIA,0.7329011161262045,0.020594797268825564,5,dropout_success
tabpfn,100.0,AMIA row_max,0.8789872836385528,0.028512012361178014,5,dropout_success
tabpfn,100.0,RMIA,0.7158132836000394,0.013356387075550258,5,dropout_success
real-tabpfn,5.0,AMIA row_max,0.8616808698207464,0.02910878062196366,5,dropout_success
real-tabpfn,5.0,RMIA,0.741140170437849,0.07200689049507772,5,dropout_success
real-tabpfn,10.0,AMIA row_max,0.8335889010587806,0.022341012703635633,5,dropout_success
real-tabpfn,10.0,RMIA,0.7344432274552757,0.017498837218764742,5,dropout_success
real-tabpfn,20.0,AMIA row_max,0.8144469115131219,0.029468621421474463,5,dropout_success
real-tabpfn,20.0,RMIA,0.6578531649255633,0.03607678476335069,5,dropout_success
real-tabpfn,30.0,AMIA row_max,0.8452894071254837,0.02805438103555124,5,dropout_success
real-tabpfn,30.0,RMIA,0.7049618999135375,0.01509460773609224,5,dropout_success
real-tabpfn,40.0,AMIA row_max,0.8383534136546185,0.031383110832787386,5,dropout_success
real-tabpfn,40.0,RMIA,0.6854576677751731,0.03206552437764032,5,dropout_success
real-tabpfn,50.0,AMIA row_max,0.8361942825584606,0.008906706085050311,5,dropout_success
