dataset,defense_key,defense_label,defense_short,family,accuracy_drop,n_models,attack_metric,auc_reduction,attack
46980_MIC,attn_drop_p10,attn drop p10,attn drop p10,Attention dropout,0.002473500810372814,4,amia_auc_reduction,0.12144460438835902,AMIA
46980_MIC,attn_drop_p30,attn drop p30,attn drop p30,Attention dropout,0.01989850081037281,4,amia_auc_reduction,0.1340398593077289,AMIA
46980_MIC,attn_drop_p50,attn drop p50,attn drop p50,Attention dropout,0.02232350081037282,4,amia_auc_reduction,0.16813002214405987,AMIA
46980_MIC,attn_drop_p70,attn drop p70,attn drop p70,Attention dropout,0.03284850081037283,4,amia_auc_reduction,0.2014288566257496,AMIA
46980_MIC,attn_drop_p90,attn drop p90,attn drop p90,Attention dropout,0.0846985008103728,4,amia_auc_reduction,0.227494424582796,AMIA
46980_MIC,highrisk_label_kanon_k10,high-risk label k-anon k10,high-risk label k-anon k10,High-risk label k-anon,0.011773500810372789,4,amia_auc_reduction,0.6555488863613081,AMIA
46980_MIC,highrisk_label_kanon_k10_a30,high-risk label k-anon k10 a30,high-risk label k-anon k10 a30,High-risk label k-anon,0.0088985008103728,4,amia_auc_reduction,0.5227889432056088,AMIA
46980_MIC,highrisk_label_kanon_k10_a50,high-risk label k-anon k10 a50,high-risk label k-anon k10 a50,High-risk label k-anon,0.009723500810372793,4,amia_auc_reduction,0.26263564221713787,AMIA
46980_MIC,highrisk_label_kanon_k3,high-risk label k-anon k3,high-risk label k-anon k3,High-risk label k-anon,0.0088985008103728,4,amia_auc_reduction,0.5978390497230023,AMIA
46980_MIC,highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,high-risk label k-anon k3 a30,High-risk label k-anon,0.008498500810372789,4,amia_auc_reduction,0.3801147393279028,AMIA
46980_MIC,highrisk_label_kanon_k3_a50,high-risk label k-anon k3 a50,high-risk label k-anon k3 a50,High-risk label k-anon,0.00729850081037281,4,amia_auc_reduction,0.17325756720052324,AMIA
46980_MIC,highrisk_label_kanon_k5,high-risk label k-anon k5,high-risk label k-anon k5,High-risk label k-anon,0.012573500810372812,4,amia_auc_reduction,0.6527109399010742,AMIA
46980_MIC,highrisk_label_kanon_k5_a30,high-risk label k-anon k5 a30,high-risk label k-anon k5 a30,High-risk label k-anon,0.008498500810372817,4,amia_auc_reduction,0.526975759740891,AMIA
46980_MIC,highrisk_label_kanon_k5_a50,high-risk label k-anon k5 a50,high-risk label k-anon k5 a50,High-risk label k-anon,0.008498500810372789,4,amia_auc_reduction,0.2611097904063422,AMIA
46980_MIC,label_kanon_k10,label k-anon k10,label k-anon k10,Label k-anon,0.012973500810372796,4,amia_auc_reduction,0.3905865417703165,AMIA
46980_MIC,label_kanon_k10+attn_drop_p10,label k-anon k10 + attn drop p10,label k-anon k10 + attn drop p10,Label k-anon + dropout,0.025931928687196126,4,amia_auc_reduction,0.391235036998705,AMIA
46980_MIC,label_kanon_k10+attn_drop_p30,label k-anon k10 + attn drop p30,label k-anon k10 + attn drop p30,Label k-anon + dropout,0.0275526742301459,4,amia_auc_reduction,0.39724552062181995,AMIA
46980_MIC,label_kanon_k10+attn_drop_p50,label k-anon k10 + attn drop p50,label k-anon k10 + attn drop p50,Label k-anon + dropout,0.031604538087520284,4,amia_auc_reduction,0.4018260312223364,AMIA
46980_MIC,label_kanon_k10_a30,label k-anon k10 a30,label k-anon k10 a30,Label k-anon,0.0088985008103728,4,amia_auc_reduction,0.22870702857187888,AMIA
46980_MIC,label_kanon_k10_a30+attn_drop_p10,label k-anon k10 a30 + attn drop p10,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.02066450567260955,4,amia_auc_reduction,0.31191208571826345,AMIA
46980_MIC,label_kanon_k10_a30+attn_drop_p30,label k-anon k10 a30 + attn drop p30,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.02309562398703416,4,amia_auc_reduction,0.33782332822855404,AMIA
46980_MIC,label_kanon_k10_a30+attn_drop_p50,label k-anon k10 a30 + attn drop p50,label k-anon k10 a30 + attn...,Label k-anon + dropout,0.023905996758509046,4,amia_auc_reduction,0.3500278442508189,AMIA
46980_MIC,label_kanon_k10_a50,label k-anon k10 a50,label k-anon k10 a50,Label k-anon,0.011348500810372808,4,amia_auc_reduction,0.14689549737449728,AMIA
