seed,defense,time_s,rmia_auc,amia_row_max_auc,amia_row_ent_auc,amia_row_max_d,accuracy,dataset,model,source_csv,defense_raw,defense_key,defense_label,defense_short,family,model_label,baseline_rmia_auc,baseline_amia_row_max_auc,baseline_accuracy,rmia_auc_reduction,amia_auc_reduction,accuracy_drop,privacy_gain,tradeoff_score
1,no_defense,0.0,0.6628061225830009,0.83927562918813,,,0.93354943273906,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,no_defense,no_defense,No defense,No defense,No defense,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.0,0.0,0.0,0.0,0.0
1,label_kanon_k3,0.0,0.5258281694506539,0.6518023898773014,0.526427083524872,0.2469698740945811,0.919,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,label_kanon_k3,label_kanon_k3,label k-anon k3,label k-anon k3,Label k-anon,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.13697795313234695,0.1874732393108286,0.014549432739059953,0.16222559622158778,0.14767616348252782
1,label_kanon_k3_a30,0.0,0.5532442492428202,0.7600613624244462,0.5331254646181003,0.3824364997794643,0.9222,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,label_kanon_k3_a30,label_kanon_k3_a30,label k-anon k3 a30,label k-anon k3 a30,Label k-anon,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.10956187334018064,0.07921426676368382,0.011349432739059973,0.09438807005193223,0.08303863731287225
1,label_kanon_k3_a50,0.0,0.5821287192432667,0.8091381679008325,0.5442158822555945,0.4963039516630789,0.9238,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,label_kanon_k3_a50,label_kanon_k3_a50,label k-anon k3 a50,label k-anon k3 a50,Label k-anon,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.08067740333973417,0.03013746128729755,0.009749432739060038,0.05540743231351586,0.04565799957445582
1,label_kanon_k5,0.0,0.5200544276299026,0.5993186038997712,0.5196761661093439,0.184112765591326,0.9157,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,label_kanon_k5,label_kanon_k5,label k-anon k5,label k-anon k5,Label k-anon,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.14275169495309825,0.23995702528835883,0.017849432739060034,0.19135436012072854,0.1735049273816685
1,label_kanon_k5_a30,0.0,0.5331385986986754,0.7286288807924579,0.5291615991005781,0.331111582620863,0.9206,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,label_kanon_k5_a30,label_kanon_k5_a30,label k-anon k5 a30,label k-anon k5 a30,Label k-anon,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.12966752388432545,0.11064674839567212,0.012949432739060018,0.12015713613999879,0.10720770340093877
1,label_kanon_k5_a50,0.0,0.565049160863592,0.7856150295910835,0.5377657352852329,0.4505153650357898,0.9222,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,label_kanon_k5_a50,label_kanon_k5_a50,label k-anon k5 a50,label k-anon k5 a50,Label k-anon,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.09775696171940884,0.0536605995970465,0.011349432739059973,0.07570878065822767,0.0643593479191677
1,label_kanon_k10,0.0,0.5237542981278682,0.509074336269238,0.5165870303581138,0.1356573447763267,0.9173,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,label_kanon_k10,label_kanon_k10,label k-anon k10,label k-anon k10,Label k-anon,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.13905182445513264,0.330201292918892,0.016249432739059988,0.23462655868701232,0.21837712594795233
1,label_kanon_k10_a30,0.0,0.5325475650728022,0.5271678456692996,0.5228007638781262,0.1863668474279082,0.9206,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,label_kanon_k10_a30,label_kanon_k10_a30,label k-anon k10 a30,label k-anon k10 a30,Label k-anon,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.13025855751019866,0.3121077835188304,0.012949432739060018,0.22118317051451453,0.2082337377754545
1,label_kanon_k10_a50,0.0,0.5492252205868833,0.5793968304836756,0.5296120980642992,0.3128911471311927,0.9222,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,label_kanon_k10_a50,label_kanon_k10_a50,label k-anon k10 a50,label k-anon k10 a50,Label k-anon,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.11358090199611759,0.2598787987044544,0.011349432739059973,0.186729850350286,0.17538041761122602
1,"attn_drop_p10_l1,2,5,8,10,11",0.0,0.6668632400726052,0.8338065980367177,0.5609657752128379,0.679933936277827,0.9335,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,"attn_drop_p10_l1,2,5,8,10,11",attn_drop_p10,attn drop p10,attn drop p10,Attention dropout,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,-0.004057117489604356,0.005469031151412285,4.943273905999579e-05,0.0007059568309039643,0.0006565240918439685
1,"attn_drop_p30_l1,2,5,8,10,11",0.0,0.6561957398296246,0.8205227889432056,0.5534990504059745,0.6511748018163862,0.9335,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,"attn_drop_p30_l1,2,5,8,10,11",attn_drop_p30,attn drop p30,attn drop p30,Attention dropout,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.0066103827533762205,0.018752840244924407,4.943273905999579e-05,0.012681611499150314,0.012632178760090318
1,"attn_drop_p50_l1,2,5,8,10,11",0.0,0.6537554276587976,0.8041262027534286,0.5469766659924505,0.612963691216976,0.9335,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,"attn_drop_p50_l1,2,5,8,10,11",attn_drop_p50,attn drop p50,attn drop p50,Attention dropout,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.009050694924203295,0.035149426434701425,4.943273905999579e-05,0.02210006067945236,0.022050627940392364
1,"label_kanon_k3+attn_drop_p10_l1,2,5,8,10,11",95.96330666542052,0.52623926617265,0.6498427850555177,0.5263653533461697,0.2470281546175864,0.9173419773095624,46980_MIC,real-tabpfn,ml_privacy_meter/logs/46980_MIC/real-tabpfn/defense/defense_eval_results.csv,"label_kanon_k3+attn_drop_p10_l1,2,5,8,10,11",label_kanon_k3+attn_drop_p10,label k-anon k3 + attn drop p10,label k-anon k3 + attn drop p10,Label k-anon + dropout,Real TabPFN,0.6628061225830009,0.83927562918813,0.93354943273906,0.13656685641035082,0.1894328441326123,0.01620745542949764,0.16299985027148156,0.14679239484198392
