seed,defense,time_s,rmia_auc,amia_row_max_auc,amia_row_ent_auc,amia_row_max_d,accuracy,dataset,model,source_csv,defense_raw,defense_key,defense_label,defense_short,family,model_label,baseline_rmia_auc,baseline_amia_row_max_auc,baseline_accuracy,rmia_auc_reduction,amia_auc_reduction,accuracy_drop,privacy_gain,tradeoff_score,k,alpha
1,highrisk_label_kanon_k3,0.0,0.4957061833875223,0.3620462575512366,0.1726335408556528,-1.164845068576575,0.7539,locations,real-tabpfn,ml_privacy_meter/logs/locations/real-tabpfn/defense/defense_eval_results.csv,highrisk_label_kanon_k3,highrisk_label_kanon_k3,high-risk label k-anon k3,high-risk label k-anon k3,High-risk label k-anon,Real TabPFN,0.8183001151821774,0.9472494787641972,0.7912772585669782,0.32259393179465506,0.5852032212129605,0.037377258566978155,0.4538985765038078,0.41652131793682967,3,base
1,highrisk_label_kanon_k3_a30,0.0,0.6706385077833019,0.3978669427150918,0.1822332706392368,-0.6610367688673058,0.7695,locations,real-tabpfn,ml_privacy_meter/logs/locations/real-tabpfn/defense/defense_eval_results.csv,highrisk_label_kanon_k3_a30,highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,high-risk label k-anon k3 a30,High-risk label k-anon,Real TabPFN,0.8183001151821774,0.9472494787641972,0.7912772585669782,0.14766160739887546,0.5493825360491054,0.021777258566978208,0.3485220717239904,0.3267448131570122,3,a30
1,highrisk_label_kanon_k3_a50,0.0,0.7550580527894013,0.5217582535077104,0.2452797177307653,0.2040324225895327,0.771,locations,real-tabpfn,ml_privacy_meter/logs/locations/real-tabpfn/defense/defense_eval_results.csv,highrisk_label_kanon_k3_a50,highrisk_label_kanon_k3_a50,high-risk label k-anon k3 a50,high-risk label k-anon k3 a50,High-risk label k-anon,Real TabPFN,0.8183001151821774,0.9472494787641972,0.7912772585669782,0.06324206239277608,0.42549122525648675,0.02027725856697815,0.2443666438246314,0.22408938525765326,3,a50
1,highrisk_label_kanon_k5,0.0,0.3760758841568616,0.3300066582102536,0.1767147321406875,-1.3063886929984585,0.6963,locations,real-tabpfn,ml_privacy_meter/logs/locations/real-tabpfn/defense/defense_eval_results.csv,highrisk_label_kanon_k5,highrisk_label_kanon_k5,high-risk label k-anon k5,high-risk label k-anon k5,High-risk label k-anon,Real TabPFN,0.8183001151821774,0.9472494787641972,0.7912772585669782,0.4422242310253158,0.6172428205539435,0.09497725856697814,0.5297335257896296,0.4347562672226515,5,base
1,highrisk_label_kanon_k5_a30,0.0,0.5354488945912977,0.3533517041616244,0.1756734755371523,-1.0673639196344575,0.7508,locations,real-tabpfn,ml_privacy_meter/logs/locations/real-tabpfn/defense/defense_eval_results.csv,highrisk_label_kanon_k5_a30,highrisk_label_kanon_k5_a30,high-risk label k-anon k5 a30,high-risk label k-anon k5 a30,High-risk label k-anon,Real TabPFN,0.8183001151821774,0.9472494787641972,0.7912772585669782,0.28285122059087964,0.5938977746025728,0.04047725856697815,0.4383744975967262,0.39789723902974805,5,a30
1,highrisk_label_kanon_k5_a50,0.0,0.6881794897964142,0.411285423379552,0.1936955982912213,-0.4242329008854854,0.7632,locations,real-tabpfn,ml_privacy_meter/logs/locations/real-tabpfn/defense/defense_eval_results.csv,highrisk_label_kanon_k5_a50,highrisk_label_kanon_k5_a50,high-risk label k-anon k5 a50,high-risk label k-anon k5 a50,High-risk label k-anon,Real TabPFN,0.8183001151821774,0.9472494787641972,0.7912772585669782,0.1301206253857632,0.5359640553846452,0.02807725856697818,0.3330423403852042,0.304965081818226,5,a50
1,highrisk_label_kanon_k10,0.0,0.3183450702514082,0.3170595982717814,0.2038056288606684,-1.3647525114205503,0.5841,locations,real-tabpfn,ml_privacy_meter/logs/locations/real-tabpfn/defense/defense_eval_results.csv,highrisk_label_kanon_k10,highrisk_label_kanon_k10,high-risk label k-anon k10,high-risk label k-anon k10,High-risk label k-anon,Real TabPFN,0.8183001151821774,0.9472494787641972,0.7912772585669782,0.4999550449307692,0.6301898804924158,0.20717725856697822,0.5650724627115925,0.3578952041446143,10,base
1,highrisk_label_kanon_k10_a30,0.0,0.3956507793022001,0.3462706732568368,0.1858551912169944,-1.26458506863559,0.6978,locations,real-tabpfn,ml_privacy_meter/logs/locations/real-tabpfn/defense/defense_eval_results.csv,highrisk_label_kanon_k10_a30,highrisk_label_kanon_k10_a30,high-risk label k-anon k10 a30,high-risk label k-anon k10 a30,High-risk label k-anon,Real TabPFN,0.8183001151821774,0.9472494787641972,0.7912772585669782,0.4226493358799773,0.6009788055073604,0.0934772585669782,0.5118140706936688,0.4183368121266906,10,a30
1,highrisk_label_kanon_k10_a50,0.0,0.5521576003227044,0.3690665383624691,0.1830728369321688,-0.937182826028964,0.7492,locations,real-tabpfn,ml_privacy_meter/logs/locations/real-tabpfn/defense/defense_eval_results.csv,highrisk_label_kanon_k10_a50,highrisk_label_kanon_k10_a50,high-risk label k-anon k10 a50,high-risk label k-anon k10 a50,High-risk label k-anon,Real TabPFN,0.8183001151821774,0.9472494787641972,0.7912772585669782,0.26614251485947293,0.578182940401728,0.04207725856697819,0.4221627276306005,0.3800854690636223,10,a50
1,highrisk_label_kanon_k3,36.2241415977478,0.3707177259052979,0.1729142062878776,0.3365980433609867,-1.1821204421831215,0.7897196261682243,locations,tabdpt,ml_privacy_meter/logs/locations/tabdpt/defense/defense_eval_results.csv,highrisk_label_kanon_k3,highrisk_label_kanon_k3,high-risk label k-anon k3,high-risk label k-anon k3,High-risk label k-anon,TabDPT,0.8856452388936679,1.0,0.7819314641744548,0.5149275129883699,0.8270857937121224,-0.007788161993769527,0.6710066533502461,0.6787948153440156,3,base
1,highrisk_label_kanon_k3_a30,36.0847589969635,0.8712936367922006,0.9883214020149592,0.7145255903694092,3.5608386576744846,0.7897196261682243,locations,tabdpt,ml_privacy_meter/logs/locations/tabdpt/defense/defense_eval_results.csv,highrisk_label_kanon_k3_a30,highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,high-risk label k-anon k3 a30,High-risk label k-anon,TabDPT,0.8856452388936679,1.0,0.7819314641744548,0.014351602101467242,0.011678597985040784,-0.007788161993769527,0.013015100043254013,0.02080326203702354,3,a30
1,highrisk_label_kanon_k3_a50,36.00541043281555,0.8821120134525007,0.9995188592590432,0.851611821482205,5.3929856694452685,0.7897196261682243,locations,tabdpt,ml_privacy_meter/logs/locations/tabdpt/defense/defense_eval_results.csv,highrisk_label_kanon_k3_a50,highrisk_label_kanon_k3_a50,high-risk label k-anon k3 a50,high-risk label k-anon k3 a50,High-risk label k-anon,TabDPT,0.8856452388936679,1.0,0.7819314641744548,0.003533225441167187,0.00048114074095684245,-0.007788161993769527,0.0020071830910620148,0.009795345084831542,3,a50
1,highrisk_label_kanon_k5,33.995779275894165,0.2242541103513299,0.0,0.0337989220503399,-4.168158871262924,0.7897196261682243,locations,tabdpt,ml_privacy_meter/logs/locations/tabdpt/defense/defense_eval_results.csv,highrisk_label_kanon_k5,highrisk_label_kanon_k5,high-risk label k-anon k5,high-risk label k-anon k5,High-risk label k-anon,TabDPT,0.8856452388936679,1.0,0.7819314641744548,0.661391128542338,1.0,-0.007788161993769527,0.830695564271169,0.8384837262649385,5,base
