dataset,param_track,param_value,alpha,model,model_label,amia_row_max_auc,accuracy,amia_auc_reduction,accuracy_drop,tradeoff_score,n_defenses
dropout_success,Attention dropout p,10.0,base,real-tabpfn,Real TabPFN,0.8797528304704353,0.7824,0.0037608805205572304,-0.0012065099457504447,0.0027415094606981216,1
dropout_success,Attention dropout p,10.0,base,tabdpt,TabDPT,0.9849822747023288,0.7709,0.014209304936523393,0.0030602169981917005,0.04410538854862561,1
dropout_success,Attention dropout p,10.0,base,tabicl,TabICL,0.5836438939192619,0.7613,0.4087049977818398,0.02170180831826407,0.3179675423040016,1
dropout_success,Attention dropout p,10.0,base,tabpfn,TabPFN,0.8895258151329751,0.7818,0.004344033185564977,0.0024073538276069284,-0.00017883864329248933,1
dropout_success,Attention dropout p,30.0,base,real-tabpfn,Real TabPFN,0.8693022260445065,0.7812,0.014211484946486053,-6.509945750465818e-06,0.008767879151874214,1
dropout_success,Attention dropout p,30.0,base,tabdpt,TabDPT,0.9624525984083748,0.7486,0.03673898123047736,0.025360216998191687,0.06876734483143249,1
dropout_success,Attention dropout p,30.0,base,tabicl,TabICL,0.4840706672029491,0.7161,0.5082782244981525,0.06690180831826409,0.3637150146006166,1
dropout_success,Attention dropout p,30.0,base,tabpfn,TabPFN,0.8792150946796494,0.783,0.014654753638890683,0.0012073538276069495,0.0075940730615806085,1
dropout_success,Attention dropout p,50.0,base,real-tabpfn,Real TabPFN,0.8536210510482032,0.7848,0.029892659942789335,-0.0036065099457505134,0.03849275520922468,1
dropout_success,Attention dropout p,50.0,base,tabdpt,TabDPT,0.8638950746671579,0.7209,0.13529650497169432,0.053060216998191745,0.16924066725018255,1
dropout_success,Attention dropout p,50.0,base,tabicl,TabICL,0.495078082506837,0.6757,0.49727080919426464,0.10730180831826408,0.32046365240322483,1
dropout_success,Attention dropout p,50.0,base,tabpfn,TabPFN,0.8622435354529571,0.7842,0.03162631286558304,7.353827606970675e-06,0.020217234432094666,1
dropout_success,Attention dropout p,70.0,base,real-tabpfn,Real TabPFN,0.8277428794516257,0.7836,0.055770831539366794,-0.0024065099457504235,0.05236270991225089,1
dropout_success,Attention dropout p,70.0,base,tabdpt,TabDPT,0.7440704637353526,0.689,0.2551211159034996,0.08496021699819178,0.24409584595468253,1
dropout_success,Attention dropout p,70.0,base,tabicl,TabICL,0.5079968215454744,0.6233,0.4843520701556272,0.15970180831826408,0.26962136035528345,1
dropout_success,Attention dropout p,70.0,base,tabpfn,TabPFN,0.8339021342660871,0.783,0.05996771405245305,0.0012073538276069495,0.05379738587738675,1
dropout_success,Attention dropout p,90.0,base,real-tabpfn,Real TabPFN,0.7633562852048902,0.7812,0.12015742578610233,-6.509945750465818e-06,0.0992372934304308,1
dropout_success,Attention dropout p,90.0,base,tabdpt,TabDPT,0.6216650843427688,0.6118,0.3775264952960834,0.16216021699819172,0.251093371570708,1
dropout_success,Attention dropout p,90.0,base,tabicl,TabICL,0.4916133200062058,0.4985,0.5007355716948958,0.28450180831826405,0.15383306737211783,1
dropout_success,Attention dropout p,90.0,base,tabpfn,TabPFN,0.7694116262111317,0.7818,0.12445822210740842,0.0024073538276069284,0.09834353243727673,1
dropout_success,High-risk label k-anon k,3.0,base,real-tabpfn,Real TabPFN,0.3381925755400702,0.7342,0.5453211354509223,0.046993490054249576,0.3130338836041813,1
dropout_success,High-risk label k-anon k,3.0,base,tabdpt,TabDPT,0.0197726903611949,0.7709463532248343,0.9794188892776573,0.003013863773357439,0.6280039174779029,1
