defense_key,defense_label,defense_short,family,rmia_auc,amia_row_max_auc,accuracy,tradeoff_score,rmia_auc_std,amia_row_max_auc_std,accuracy_std,n_datasets,n_dataset_defense_points
highrisk_label_kanon_k5,high-risk label k-anon k5,high-risk label k-anon k5,High-risk label k-anon,0.4501727437288188,0.2619489690633365,0.8036989801440644,0.4609310698580981,0.09560403754691402,0.13208978548052447,0.17318014733228,6,6
highrisk_label_kanon_k10,high-risk label k-anon k10,high-risk label k-anon k10,High-risk label k-anon,0.4174907329944923,0.28141551193322184,0.7888319325162266,0.45267175616248095,0.10751491784683014,0.12236058491125934,0.17431411510215025,6,6
highrisk_label_kanon_k3,high-risk label k-anon k3,high-risk label k-anon k3,High-risk label k-anon,0.5082505186724553,0.29186988808976444,0.8138161552922748,0.4270488980212764,0.08154633933317021,0.13680058373473772,0.17305770324806868,6,6
highrisk_label_kanon_k10_a30,high-risk label k-anon k10 a30,high-risk label k-anon k10 a30,High-risk label k-anon,0.5279091377498679,0.3227320378054004,0.8104109182915128,0.39838327662399003,0.08556235302226171,0.13977006329315,0.174028784151006,6,6
highrisk_label_kanon_k5_a30,high-risk label k-anon k5 a30,high-risk label k-anon k5 a30,High-risk label k-anon,0.5896321700173202,0.3822370967884548,0.8190873766123717,0.34644568931959574,0.06963168855347354,0.11785829250713875,0.1697485873072223,6,6
highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,high-risk label k-anon k3 a30,High-risk label k-anon,0.6339365467639072,0.4961787340279855,0.823562558201765,0.2717978639159301,0.08630664645769194,0.09554141325190679,0.16793609186532923,6,6
label_kanon_k10+attn_drop_p10,label k-anon k10 + attn drop p10,label k-anon k10 + attn drop p10,Label k-anon + dropout,0.5283174774337758,0.5159769017434694,0.6546119255576806,0.26078011129144835,0.002351539040192712,0.008670336381151455,0.27739723636574576,3,3
label_kanon_k10+attn_drop_p30,label k-anon k10 + attn drop p30,label k-anon k10 + attn drop p30,Label k-anon + dropout,0.5199094460021817,0.5091904161602061,0.6439038142041327,0.25766925844532923,0.005706671398156354,0.010324586975825355,0.2881727764461738,3,3
highrisk_label_kanon_k10_a50,high-risk label k-anon k10 a50,high-risk label k-anon k10 a50,High-risk label k-anon,0.6358344423290972,0.5258767755604742,0.8227466972132588,0.2551840343785845,0.07899978643879617,0.10365954818509718,0.16663085826051552,6,6
label_kanon_k5+attn_drop_p10,label k-anon k5 + attn drop p10,label k-anon k5 + attn drop p10,Label k-anon + dropout,0.5347966621899415,0.5474660941610067,0.6647480517135052,0.2519320488604215,0.017517757711873368,0.030461781987396856,0.27098372857708924,3,3
label_kanon_k5+attn_drop_p30,label k-anon k5 + attn drop p30,label k-anon k5 + attn drop p30,Label k-anon + dropout,0.5273961819685425,0.5401797973805613,0.6511317691779791,0.24565915482581765,0.01579562538803605,0.02910729004278329,0.28520018600435576,3,3
label_kanon_k10+attn_drop_p50,label k-anon k10 + attn drop p50,label k-anon k10 + attn drop p50,Label k-anon + dropout,0.5168498447851223,0.5097661608694367,0.6276787256910404,0.2426860981861514,0.004589782994883133,0.010950478067320682,0.28986470550014515,3,3
label_kanon_k5+attn_drop_p50,label k-anon k5 + attn drop p50,label k-anon k5 + attn drop p50,Label k-anon + dropout,0.523249177515218,0.5376196150843414,0.6363181475680327,0.23419912659064349,0.011348126126890306,0.0258467486185149,0.2872153375153046,3,3
