defense_key,defense_label,family
no_defense,No defense,No defense
attn_drop_p10,attn drop p10,Attention dropout
attn_drop_p30,attn drop p30,Attention dropout
attn_drop_p50,attn drop p50,Attention dropout
attn_drop_p70,attn drop p70,Attention dropout
attn_drop_p90,attn drop p90,Attention dropout
highrisk_label_kanon_k10,high-risk label k-anon k10,High-risk label k-anon
highrisk_label_kanon_k10_a30,high-risk label k-anon k10 a30,High-risk label k-anon
highrisk_label_kanon_k10_a50,high-risk label k-anon k10 a50,High-risk label k-anon
highrisk_label_kanon_k3,high-risk label k-anon k3,High-risk label k-anon
highrisk_label_kanon_k3_a30,high-risk label k-anon k3 a30,High-risk label k-anon
highrisk_label_kanon_k3_a50,high-risk label k-anon k3 a50,High-risk label k-anon
highrisk_label_kanon_k5,high-risk label k-anon k5,High-risk label k-anon
highrisk_label_kanon_k5_a30,high-risk label k-anon k5 a30,High-risk label k-anon
highrisk_label_kanon_k5_a50,high-risk label k-anon k5 a50,High-risk label k-anon
label_kanon_k10,label k-anon k10,Label k-anon
label_kanon_k10+attn_drop_p10,label k-anon k10 + attn drop p10,Label k-anon + dropout
label_kanon_k10+attn_drop_p30,label k-anon k10 + attn drop p30,Label k-anon + dropout
label_kanon_k10+attn_drop_p50,label k-anon k10 + attn drop p50,Label k-anon + dropout
label_kanon_k10_a30,label k-anon k10 a30,Label k-anon
label_kanon_k10_a30+attn_drop_p10,label k-anon k10 a30 + attn drop p10,Label k-anon + dropout
label_kanon_k10_a30+attn_drop_p30,label k-anon k10 a30 + attn drop p30,Label k-anon + dropout
label_kanon_k10_a30+attn_drop_p50,label k-anon k10 a30 + attn drop p50,Label k-anon + dropout
label_kanon_k10_a50,label k-anon k10 a50,Label k-anon
label_kanon_k10_a50+attn_drop_p10,label k-anon k10 a50 + attn drop p10,Label k-anon + dropout
label_kanon_k10_a50+attn_drop_p30,label k-anon k10 a50 + attn drop p30,Label k-anon + dropout
label_kanon_k10_a50+attn_drop_p50,label k-anon k10 a50 + attn drop p50,Label k-anon + dropout
label_kanon_k3,label k-anon k3,Label k-anon
label_kanon_k3+attn_drop_p10,label k-anon k3 + attn drop p10,Label k-anon + dropout
label_kanon_k3+attn_drop_p30,label k-anon k3 + attn drop p30,Label k-anon + dropout
label_kanon_k3+attn_drop_p50,label k-anon k3 + attn drop p50,Label k-anon + dropout
label_kanon_k3_a30,label k-anon k3 a30,Label k-anon
label_kanon_k3_a30+attn_drop_p10,label k-anon k3 a30 + attn drop p10,Label k-anon + dropout
label_kanon_k3_a30+attn_drop_p30,label k-anon k3 a30 + attn drop p30,Label k-anon + dropout
label_kanon_k3_a30+attn_drop_p50,label k-anon k3 a30 + attn drop p50,Label k-anon + dropout
label_kanon_k3_a50,label k-anon k3 a50,Label k-anon
label_kanon_k3_a50+attn_drop_p10,label k-anon k3 a50 + attn drop p10,Label k-anon + dropout
label_kanon_k3_a50+attn_drop_p30,label k-anon k3 a50 + attn drop p30,Label k-anon + dropout
label_kanon_k3_a50+attn_drop_p50,label k-anon k3 a50 + attn drop p50,Label k-anon + dropout
label_kanon_k5,label k-anon k5,Label k-anon
label_kanon_k5+attn_drop_p10,label k-anon k5 + attn drop p10,Label k-anon + dropout
label_kanon_k5+attn_drop_p30,label k-anon k5 + attn drop p30,Label k-anon + dropout
label_kanon_k5+attn_drop_p50,label k-anon k5 + attn drop p50,Label k-anon + dropout
label_kanon_k5_a30,label k-anon k5 a30,Label k-anon
label_kanon_k5_a30+attn_drop_p10,label k-anon k5 a30 + attn drop p10,Label k-anon + dropout
label_kanon_k5_a30+attn_drop_p30,label k-anon k5 a30 + attn drop p30,Label k-anon + dropout
label_kanon_k5_a30+attn_drop_p50,label k-anon k5 a30 + attn drop p50,Label k-anon + dropout
label_kanon_k5_a50,label k-anon k5 a50,Label k-anon
label_kanon_k5_a50+attn_drop_p10,label k-anon k5 a50 + attn drop p10,Label k-anon + dropout
label_kanon_k5_a50+attn_drop_p30,label k-anon k5 a50 + attn drop p30,Label k-anon + dropout
label_kanon_k5_a50+attn_drop_p50,label k-anon k5 a50 + attn drop p50,Label k-anon + dropout
