layer,head,row_max_delta,row_ent_delta,row_max_auc_delta
0,0,0.0002595302648842001,0.023931503295898438,0.00015548616647720337
0,1,-0.0011798134073614996,-0.10040473937988281,-3.6522746086120605e-05
0,2,6.21562357992001e-05,0.009996414184570312,0.0003713369369506836
0,3,0.00029342062771319996,0.007848262786864346,0.00013062357902521304
0,4,-0.0005117175169288999,-0.004296302795410156,-4.6640634536798675e-05
0,5,-0.002944516018033,-0.020322322845458984,-2.9042363166809082e-05
0,6,0.00018650386482479964,-0.07431650161743164,0.00010004639625549316
0,7,0.0008028012234717998,0.0359950065612793,-0.000935681164264679
1,0,0.0019271345809101998,0.14554834365844727,-3.0249357223510742e-06
1,1,-0.0021515283733605996,-0.18923091888427734,-9.509921073913574e-05
1,2,-1.1764932423800108e-05,0.0011186599731445312,-0.00026482343673706055
1,3,-0.0005233758129180007,0.0654597282409668,-0.00010035932064061948
1,4,-0.0006371182389557995,0.042128562927246094,-5.957484245300293e-05
1,5,-0.0027728518471122005,-0.16185760498046875,-1.436471939086914e-05
1,6,-0.00038239802233869984,-0.12398624420166016,-0.0003069937229156494
1,7,0.0008676929865032001,0.05166149139404297,7.522106170659848e-05
2,0,0.0009725345298648002,0.16618824005126953,-0.0007815957069397528
2,1,0.0030850628390908,0.2061018943786621,9.906291961669922e-05
2,2,0.011047009378671601,0.3327755928039551,0.0001233220100402832
2,3,0.009469308890402301,0.365476131439209,-0.00025147199630737305
2,4,0.024017721414566096,0.24279737472534269,-8.502602577209473e-05
2,5,-0.0007272958755492991,0.11376953125,0.0002647191286087036
2,6,-0.0012631108984351002,0.07963943481445312,1.3217329978998382e-05
2,7,-0.00014122575521469984,0.08274078369140714,0.0002079010009765625
3,0,0.010035566985607099,0.47337818145751953,-0.00016598403453832455
3,1,-0.0064621418714523,-0.47640085220336914,1.2367963790893555e-06
3,2,-0.005276973359286702,0.0464019775390625,9.502470493322202e-05
3,3,0.009105661883950202,0.2557992935180655,0.00039455294609069824
3,4,0.0015397779643535996,0.28574419021606445,0.00032347440719610043
3,5,-0.0008561736904085003,0.030364990234375,0.00010648369789123535
3,6,4.9265567213199746e-05,0.0851716995239249,-0.00014731287956237793
3,7,0.0144218429923057,0.6388578414916992,-0.00021891295909881592
