layer,row_max_delta,row_ent_delta
0,-0.00037895375862709996,-0.01519632339477539
1,-0.00046052597463129997,-0.021145343780517578
2,0.005807496607303599,0.1986861228942871
3,0.0028196023777127006,0.16741371154785156
4,0.0011620111763477985,0.15779829025268555
5,0.008614622056484202,0.053304195404052734
6,-0.0208501480519772,-0.1564640998840332
7,-0.053908519446849795,-0.4005012512207031
8,-0.03047849237918851,-0.2850227355957031
9,0.026272825896739904,0.2906336784362793
10,0.0994061902165413,0.8734040260314941
11,0.0256793648004531,0.42231273651123047
12,0.0514865480363369,0.7121438980102539
13,0.07149014249444009,1.0460314750671387
14,0.14595235511660581,1.6644377708435059
15,0.0179794272407889,0.7028703689575195
