metric,model,value,delta
Train accuracy,original,0.8615384615384616,0.0
Train accuracy,finetuned,0.9951417004048583,0.1336032388663967
Test accuracy,original,0.8710787290022263,0.0
Test accuracy,finetuned,0.9184375632463064,0.04735883424408016
Member true-label prob.,original,0.7830178737640381,0.0
Member true-label prob.,finetuned,0.9949102401733398,0.21189236640930176
Non-member true-label prob.,original,0.7809064388275146,0.0
Non-member true-label prob.,finetuned,0.9203009605407715,0.13939452171325684
MIA AUC,original,0.5025511767602651,0.0
MIA AUC,finetuned,0.5729112228752724,0.07036004611500735
MIA AUC: logit delta,finetuned,0.6164018003534828,
